index,season_no,episode_no,episode_name,Character,Text
0,1,1,A Grain of Truth,,[boy] It comes on a full moon...
1,1,1,A Grain of Truth,,to feed.
2,1,1,A Grain of Truth,,That's what Ma used to say.
3,1,1,A Grain of Truth,,When a wolf...
4,1,1,A Grain of Truth,,crosses a maiden's grave.
5,1,1,A Grain of Truth,,A pregnant girl who died before her time.
6,1,1,A Grain of Truth,,That babe...
7,1,1,A Grain of Truth,,starts growing...
8,1,1,A Grain of Truth,,right in her belly.
9,1,1,A Grain of Truth,,[dust scatters]
10,1,1,A Grain of Truth,,[blows]
11,1,1,A Grain of Truth,,[coughing]
12,1,1,A Grain of Truth,,When it's big enough...
13,1,1,A Grain of Truth,,that babe rips out.
14,1,1,A Grain of Truth,,Only it ain't a babe no more.
15,1,1,A Grain of Truth,,It's a monster.
16,1,1,A Grain of Truth,,A vukodlak.
17,1,1,A Grain of Truth,,"I swear, Witcher, that's what got me."
18,1,1,A Grain of Truth,,I swear I saw it.
19,1,1,A Grain of Truth,,"I swear on my ma's grave, I saw it--"
20,1,1,A Grain of Truth,,"Shh. Shh, shh."
21,1,1,A Grain of Truth,,Three thousand orens. Up front.
22,1,1,A Grain of Truth,,[coughing]
23,1,1,A Grain of Truth,,[screams]
24,1,1,A Grain of Truth,,[echoing scream]
25,1,1,A Grain of Truth,,[metal clinking]
26,1,1,A Grain of Truth,,[hook creaks]
27,1,1,A Grain of Truth,,[loud screech]
28,1,1,A Grain of Truth,,[woman] No!
29,1,1,A Grain of Truth,,[woman screaming]
30,1,1,A Grain of Truth,,[metal clinking]
31,1,1,A Grain of Truth,,[loud screech]
32,1,1,A Grain of Truth,,[grunts]
33,1,1,A Grain of Truth,,This... [chuckles] I definitely know.
34,1,1,A Grain of Truth,,♪ The vampiress bled ♪
35,1,1,A Grain of Truth,,[sighs]
36,1,1,A Grain of Truth,,♪ As white as a sheet ♪
37,1,1,A Grain of Truth,,[sighs]
38,1,1,A Grain of Truth,,♪ And yet her dead heart did beat ♪
39,1,1,A Grain of Truth,,♪ Did beat ♪
40,1,1,A Grain of Truth,,The kikimora?
41,1,1,A Grain of Truth,,Mm.
42,1,1,A Grain of Truth,,Hmm.
43,1,1,A Grain of Truth,,I don't recall the bard  singing of this one.
44,1,1,A Grain of Truth,,Who would dare  try and rob you of your treasure?
45,1,1,A Grain of Truth,,A woman?
46,1,1,A Grain of Truth,,Princess.
47,1,1,A Grain of Truth,,Were you in love?
48,1,1,A Grain of Truth,,What's her name?
49,1,1,A Grain of Truth,,"When you live as long as I do, all the names start to sound the same."
50,1,1,A Grain of Truth,,"[sighs] Were destiny a kinder bitch,  a whore like me"
51,1,1,A Grain of Truth,,wouldn't have to settle for  her client's telltales.
52,1,1,A Grain of Truth,,A friend of yours came through here last month headed for Temeria.
53,1,1,A Grain of Truth,,Friend?
54,1,1,A Grain of Truth,,Another witcher.
55,1,1,A Grain of Truth,,"Mm. Blessed that prick with my fullest efforts, too,"
56,1,1,A Grain of Truth,,and he--
57,1,1,A Grain of Truth,,What's in Temeria?
58,1,1,A Grain of Truth,,Do you not just hear me talking?
59,1,1,A Grain of Truth,,Shouldn't you know
60,1,1,A Grain of Truth,,when someone's pretending?
61,1,1,A Grain of Truth,,[pounding on door]
62,1,1,A Grain of Truth,,[scoffs]
63,1,1,A Grain of Truth,,[man] It's been three nights.
