Number;Start time in milliseconds;End time in milliseconds;"Text"
1;28125;31416,6667;"[man] Where would you be headin',
little thief?"
2;73458,3334;75666,6667;"[Geralt] I will take her, protect her,"
3;76541,6667;79125;"and bring her back unharmed,
I promise you that."
4;90541,6667;91666,6667;"[horse nickers]"
5;103916,6667;104750;"[grunts]"
6;109541,6667;110958,3334;"[Roach whinnies]"
7;116000;118250;"Ill winds follow grave robbers."
8;118333,3334;121958,3334;"If I was a robber,
I'd be taking their belongings, Butcher."
9;122041,6667;124708,3334;"If I was a butcher,
you'd be amongst the corpses."
10;127708,3334;131708,3334;"I was goin' home to my family
when I came upon these poor souls."
11;132166,6667;134958,3334;"Cintran refugees. Dead at least a week."
12;135791,6667;137958,3334;"Now they're a feast for the crows."
13;142458,3334;143666,6667;"They're not crows."
14;143750;145291,6667;"[flies buzzing]"
15;145375;146875;"-[man] Wolves?
-No."
16;148916,6667;151291,6667;"With the hands of two,
I could move quicker."
17;151375;153833,3334;"The only thing you should do quickly
is flee."
18;153916,6667;154791,6667;"[grunts]"
19;154875;157500;"[Geralt] Come on, Roach,
back to Kaer Morhen."
20;157583,3334;158750;"[man] Don't leave!"
21;160708,3334;162125;"Look at these people."
22;162875;165750;"Innocent people, killed for what?"
23;166833,3334;169125;"So Nilfgaard can have more land?"
24;169833,3334;170833,3334;"[grunts]"
25;170916,6667;173041,6667;"We owe it to 'em to do better."
26;175083,3334;176333,3334;"I'm not better."
27;184333,3334;185541,6667;"[grunts]"
28;189833,3334;191083,3334;"[sighs]"
29;201791,6667;203416,6667;"[hissing]"
30;203500;205166,6667;"[yelling]"
31;206541,6667;208125;"[screaming]"
32;209708,3334;211375;"-[sword slashes]
-[creature snarls]"
33;212041,6667;213458,3334;"[panting]"
34;215791,6667;217000;"Go home."
35;218750;219791,6667;"I can help."
36;220541,6667;223208,3334;"-One bite will kill you.
-Or you."
37;227750;230125;"Go... home!"
38;230208,3334;232083,3334;"All right... [grunting]"
39;249958,3334;251958,3334;"[flies buzzing]"
40;254458,3334;256041,6667;"[exhales]"
41;261375;263375;"[buzzing intensifies]"
42;266000;268000;"[screeching and growling]"
43;271666,6667;273666,6667;"[rumbling]"
44;275625;277083,3334;"[snarling]"
45;277708,3334;278541,6667;"[snarls]"
46;290166,6667;291708,3334;"[snarling]"
47;315083,3334;317083,3334;"[panting]"
48;317833,3334;319041,6667;"[grunts]"
49;320333,3334;321250;"Fuck."
50;324791,6667;326041,6667;"[grunts]"
51;331000;332208,3334;"[groans]"
52;333500;334750;"[sighs]"
53;335416,6667;337708,3334;"Not a happy ever after, after all."
54;339791,6667;340791,6667;"A fitting end..."
55;342583,3334;343583,3334;"huh, Roach?"
56;360208,3334;361208,3334;"[woman] Come on, girl."
57;362375;363375;"Get up now."
58;364208,3334;366041,6667;"[flies buzzing]"
59;367958,3334;369458,3334;"[Ciri shuddering]"
60;373291,6667;374666,6667;"Let's get you out of here."
61;378916,6667;379791,6667;"What happened?"
62;387833,3334;388833,3334;"They came for me."
63;396833,3334;398000;"[woman] Well, then..."
64;399166,6667;400625;"they got what they deserved."
65;402791,6667;403791,6667;"You're safe now."
66;405625;406500;"It's okay."
67;407541,6667;408708,3334;"It's okay."
68;411291,6667;414541,6667;"Let me take you home, girl.
Something's in the air."
69;431875;436458,3334;"[upbeat music playing]"
70;474625;478375;"[Yennefer] There are, what, 60 of us?
And we're the saviors of the Continent?"
71;478458,3334;481666,6667;"Well, the good news is
there's only one way to move north:"
72;481750;483041,6667;"through Sodden Hill."
73;483125;486000;"We must get to the Elven keep
that guards it before Nilfgaard does."
74;486500;487375;"When is that?"
75;488208,3334;491791,6667;"My sources say the general's moving troops
to the Yaruga Valley."
76;491875;493125;"They're two days away."
77;493875;495750;"If we cut them off at the choke hold,"
78;496083,3334;498083,3334;"we can still stop the Empire's progress."
79;498500;500625;"We have sent word
to the Northern Kingdoms."
80;501333,3334;504208,3334;"Temeria and Kaedwen will join us
to defend their lands."
81;505250;506291,6667;"When is that?"
82;506750;509250;"Within two days. Hopefully."
83;510375;513000;"We will fortify the keep
until they arrive."
84;513625;514750;"That's the strategy."
85;515500;517041,6667;"A military strategy."
86;517916,6667;520125;"We're mages. Damn powerful ones."
87;520458,3334;522666,6667;"[men shouting in distance]"
88;522750;525666,6667;"Does Nilfgaard really believe
they can take the whole Continent?"
89;526375;528250;"They've been collecting soldiers,"
90;528333,3334;530000;"occupying territories..."
91;531041,6667;533541,6667;"letting loose their beliefs
like an epidemic."
92;534708,3334;535875;"Istredd was telling me."
93;535958,3334;537083,3334;"You saw Is?"
94;538166,6667;539708,3334;"I saw it first hand in Nazair."
95;540541,6667;542708,3334;"Nilfgaard take people down
to their worst,"
96;543416,6667;545541,6667;"then give them something to cling to."
97;545625;547250;"Even if it's shitty ale."
98;547333,3334;549125;"That's why we're here."
99;549208,3334;551458,3334;"Because sometimes it's not shitty ale."
100;551541,6667;553333,3334;"Sometimes it's a bed in a pigpen."
101;554333,3334;557000;"You have to make a choice to fight back."
102;570625;572333,3334;"If Nilfgaard wanted to take the North,"
103;572416,6667;575541,6667;"why would they expose themselves
by sacking Cintra first?"
104;575625;578416,6667;"Why wouldn't they just push through Sodden
and surprise everyone?"
105;579625;583125;"First, she shuns the military,
now she's a military expert."
106;583208,3334;585333,3334;"First, he speaks to her
as though she's not there,"
107;585416,6667;587500;"-and then he loses a limb.
-[chuckles]"
108;589125;590458,3334;"You're a talented mage."
109;591500;592708,3334;"An asset, to be sure."
110;593375;594458,3334;"Despite being a..."
111;595166,6667;596458,3334;"An inconvenient arsehole?"
112;597375;599416,6667;"I couldn't have said it better myself."
113;604500;605791,6667;"Why did you come?"
114;616833,3334;618333,3334;"[Yennefer] We've been walking for hours"
115;618416,6667;620750;"and you still haven't
answered my question."
116;620833,3334;623791,6667;"[Vilgefortz] If my military experience
has taught me anything,"
117;624416,6667;626791,6667;"it's that the bigger picture's left
for history,"
118;626875;628583,3334;"which makes our task very clear:"
119;630000;631875;"hold Sodden, save the Continent."
120;633333,3334;634333,3334;"Are you in?"
121;636875;638541,6667;"Is this what we're protecting?"
122;649791,6667;651083,3334;"[Tissaia] For hundreds of years,"
123;651166,6667;654166,6667;"this keep has guarded the narrowest parts
of the Yaruga River."
124;654250;657125;"Now it's the only thing standing
between Nilfgaard and the North."
125;658500;661250;"[man] These people, they have been
pushed here from their homes."
126;662291,6667;663666,6667;"They've seen the scorched earth,"
127;664291,6667;667833,3334;"the fields of corpses stretching
between Gemmera and this river."
128;668291,6667;669458,3334;"Such cruelty."
129;670166,6667;671583,3334;"It's Nilfgaard's way."
130;672291,6667;675958,3334;"There's nothing like a higher purpose
to permit men to do the unspeakable."
131;676833,3334;678791,6667;"[man] But it's all any of us have left."
132;678875;680958,3334;"-We have to defend it.
-That's heroic."
133;681375;682791,6667;"And stupid."
134;684541,6667;686750;"Take the children and hide
before they get here."
135;686833,3334;688875;"There is no more hiding from Nilfgaard."
136;689458,3334;692250;"They have come from beyond the mountains
to destroy the world."
137;695000;696791,6667;"You still believe it can be saved?"
138;699583,3334;700708,3334;"I suppose I do."
139;702958,3334;704166,6667;"With some help."
140;707708,3334;709333,3334;"[people clamoring]"
141;728416,6667;730500;"[chanting in Elder]"
142;741208,3334;744708,3334;"[continues chanting]"
143;768416,6667;770416,6667;"[troops marching]"
144;770500;772250;"[horses neighing]"
145;773000;775000;"[indistinct chatter]"
146;775083,3334;776708,3334;"[melancholy tune playing on rebec]"
147;776791,6667;778791,6667;"[man] One here, on the east gate."
148;787208,3334;788291,6667;"Is this all we have?"
149;789333,3334;790166,6667;"Aye."
150;791208,3334;792291,6667;"I'm afraid so."
151;792958,3334;795083,3334;"We tried to get more fletchin', but..."
152;797375;800208,3334;"Nilfgaard's blocked the roads,"
153;800291,6667;802125;"taken everythin' from us."
154;802208,3334;804666,6667;"Nothin' left to do
but wait for 'em to attack."
155;806791,6667;807666,6667;"[sighs]"
156;809833,3334;811208,3334;"[Yennefer] You could be down there,"
157;812541,6667;813416,6667;"with the others."
158;814083,3334;815000;"[woman] No."
159;816333,3334;817166,6667;"I can't."
160;817708,3334;820083,3334;"I lost my farm not a sennight ago..."
161;821125;822291,6667;"to soldiers who..."
162;823041,6667;824708,3334;"claimed it belonged to them."
163;825333,3334;827375;"Took all me sucklin's, the bastards."
164;828458,3334;829291,6667;"I raised 'em,"
165;830416,6667;832666,6667;"all on me own after me husband died."
166;834541,6667;836333,3334;"But now I have to fight back."
167;837833,3334;839833,3334;"[whooshing]"
168;840958,3334;842833,3334;"[rustling]"
169;853958,3334;855333,3334;"I wish I could do that."
170;862083,3334;863083,3334;"It's magic."
171;864375;865416,6667;"It's not real."
172;875041,6667;877041,6667;"[indistinct chatter and laughing]"
173;882041,6667;883416,6667;"[baby crying]"
174;887333,3334;889208,3334;"Is Vilgefortz to be our new daddy?"
175;894208,3334;895708,3334;"You did time in Temeria."
176;896541,6667;900125;"Do you believe King Foltest
will bring the Northern armies?"
177;900208,3334;901333,3334;"[Triss] I know he will."
178;902708,3334;904958,3334;"His daughter was cursed. A striga."
179;905750;908500;"I guess I was the only one
who didn't see her as a lost cause."
180;909000;910125;"You saved her?"
181;911041,6667;912458,3334;"Well, we did."
182;912916,6667;914291,6667;"I enlisted a witcher."
183;915083,3334;916208,3334;"Geralt of Rivia."
184;917208,3334;919041,6667;"I often wonder where fate took him."
185;920958,3334;922541,6667;"Somewhere unpleasant, I'm sure."
186;924333,3334;925916,6667;"You should be wary of his kind."
187;927291,6667;929041,6667;"They're so often disappointing."
188;932083,3334;933916,6667;"[Tissaia] The ale won't disappoint."
189;936291,6667;938000;"We should enjoy it while we can."
190;938875;941166,6667;"It's the first thing
Nilfgaard will destroy."
191;944500;946291,6667;"Must you always be so fatalistic?"
192;946833,3334;948083,3334;"It's only appropriate,"
193;948583,3334;949875;"seeing as we might die."
194;950833,3334;952750;"All the more reason to live tonight."
195;954250;956333,3334;"Mmm. Like you."
196;964333,3334;967416,6667;"[both chuckle]"
197;972208,3334;973375;"So, are you ready?"
198;977666,6667;978666,6667;"To die?"
199;983333,3334;984333,3334;"Yes."
200;986333,3334;988666,6667;"I've lived two or three lifetimes already."
201;990708,3334;992958,3334;"But you haven't been satisfied
in any of them."
202;999125;1000083,3334;"I've tried."
203;1003666,6667;1005625;"But I've no legacy to leave behind."
204;1009416,6667;1010458,3334;"No family."
205;1014000;1017500;"It's time to accept
that life has no more to give."
206;1021750;1024125;"You still have so much left to give."
207;1034500;1036125;"-[horses neighing]
-[weapons clattering]"
208;1036208,3334;1037750;"[men shouting]"
209;1038375;1041500;"Fifty thousand of our soldiers
are marching from Cintra, sir."
210;1041583,3334;1042458,3334;"[Cahir] I know."
211;1042916,6667;1044291,6667;"We wipe out the keep,"
212;1044375;1047500;"and when the General's forces arrive,
they push through to the North."
213;1047583,3334;1048791,6667;"[Cahir] And if it's too late?"
214;1048875;1051625;"Fringilla, tell him he cannot possibly
take Temeria alone."
215;1051708,3334;1054541,6667;"[Cahir] Tell him he cannot possibly
understand the stakes at play."
216;1054625;1057125;"The Brotherhood... they're here."
217;1057833,3334;1059541,6667;"Our scouts just spotted them,"
218;1060291,6667;1061500;"fortifying the keep."
219;1062291,6667;1063708,3334;"We must move."
220;1063791,6667;1064833,3334;"How many?"
221;1064916,6667;1065916,6667;"We don't know."
222;1066625;1068125;"[field marshal] We must wait."
223;1068208,3334;1070833,3334;"It is one thing
to destroy a few peasant insurgents,"
224;1070916,6667;1072583,3334;"but we cannot combat unknown magic."
225;1072666,6667;1073750;"We have magic too."
226;1075750;1078416,6667;"Without rules or restrictions."
227;1079916,6667;1082041,6667;"I will personally deplete them"
228;1082708,3334;1083958,3334;"until they are empty..."
229;1084583,3334;1085833,3334;"and powerless."
230;1090041,6667;1093333,3334;"Cahir, if the report
from the trading post is true,"
231;1093416,6667;1095916,6667;"Cirilla may already be across the Yaruga."
232;1097333,3334;1098166,6667;"This..."
233;1098791,6667;1100166,6667;"is our chance..."
234;1101000;1102208,3334;"to honor the White Flame."
235;1103916,6667;1105708,3334;"[field marshal] 
Sir, forget Princess Cirilla."
236;1106125;1107833,3334;"With the General,
we can take the Continent."
237;1107916,6667;1108791,6667;"[Cahir] Enough!"
238;1111041,6667;1112333,3334;"We will not lose her."
239;1113250;1114958,3334;"Test the Brotherhood's defenses."
240;1123000;1124666,6667;"[boy] Where did you come from, anyway?"
241;1125375;1128458,3334;"You tryin' to outrun the war
like the rest of them? [scoffs]"
