index;season_no;episode_no;episode_name;Character;Text
0;1;3;Betrayer Moon;boy;[boy] It comes on a full moon...
1;1;3;Betrayer Moon;boy;to feed.
2;1;3;Betrayer Moon;boy;That's what Ma used to say.
3;1;3;Betrayer Moon;boy;When a wolf...
4;1;3;Betrayer Moon;boy;crosses a maiden's grave.
5;1;3;Betrayer Moon;boy;A pregnant girl who died before her time.
6;1;3;Betrayer Moon;boy;That babe...
7;1;3;Betrayer Moon;boy;starts growing...
8;1;3;Betrayer Moon;boy;right in her belly.
9;1;3;Betrayer Moon;boy;[dust scatters]
10;1;3;Betrayer Moon;boy;[blows]
11;1;3;Betrayer Moon;boy;[coughing]
12;1;3;Betrayer Moon;boy;When it's big enough...
13;1;3;Betrayer Moon;boy;that babe rips out.
14;1;3;Betrayer Moon;boy;Only it ain't a babe no more.
15;1;3;Betrayer Moon;boy;It's a monster.
16;1;3;Betrayer Moon;boy;A vukodlak.
17;1;3;Betrayer Moon;boy;I swear, Witcher, that's what got me.
18;1;3;Betrayer Moon;boy;I swear I saw it.
19;1;3;Betrayer Moon;boy;I swear on my ma's grave, I saw it--
20;1;3;Betrayer Moon;boy;Shh. Shh, shh.
21;1;3;Betrayer Moon;witcher;Three thousand orens. Up front.
22;1;3;Betrayer Moon;;[coughing]
23;1;3;Betrayer Moon;;[screams]
24;1;3;Betrayer Moon;;[echoing scream]
25;1;3;Betrayer Moon;;[metal clinking]
26;1;3;Betrayer Moon;;[hook creaks]
27;1;3;Betrayer Moon;;[loud screech]
28;1;3;Betrayer Moon;;[woman] No!
29;1;3;Betrayer Moon;;[woman screaming]
30;1;3;Betrayer Moon;;[metal clinking]
31;1;3;Betrayer Moon;;[loud screech]
32;1;3;Betrayer Moon;;[grunts]
33;1;3;Betrayer Moon;prostitute;This... [chuckles] I definitely know.
34;1;3;Betrayer Moon;prostitute;<song> The vampiress bled <song>
35;1;3;Betrayer Moon;;[sighs]
36;1;3;Betrayer Moon;prostitute;<song> As white as a sheet <song>
37;1;3;Betrayer Moon;;[sighs]
38;1;3;Betrayer Moon;prostitute;<song> And yet her dead heart did beat <song>
39;1;3;Betrayer Moon;prostitute;<song> Did beat <song>
40;1;3;Betrayer Moon;prostitute;The kikimora?
41;1;3;Betrayer Moon;geralt;Mm.
42;1;3;Betrayer Moon;prostitute;Hmm.
43;1;3;Betrayer Moon;prostitute;I don't recall the bard  singing of this one.
44;1;3;Betrayer Moon;prostitute;Who would dare  try and rob you of your treasure?
45;1;3;Betrayer Moon;prostitute;A woman?
46;1;3;Betrayer Moon;geralt;Princess.
47;1;3;Betrayer Moon;prostitute;Were you in love?
48;1;3;Betrayer Moon;prostitute;What's her name?
49;1;3;Betrayer Moon;geralt;When you live as long as I do, all the names start to sound the same.
50;1;3;Betrayer Moon;prostitute;[sighs] Were destiny a kinder bitch,  a whore like me
51;1;3;Betrayer Moon;prostitute;wouldn't have to settle for  her client's telltales.
52;1;3;Betrayer Moon;prostitute;A friend of yours came through here last month headed for Temeria.
53;1;3;Betrayer Moon;geralt;Friend?
54;1;3;Betrayer Moon;prostitute;Another witcher.
55;1;3;Betrayer Moon;prostitute;Mm. Blessed that prick with my fullest efforts, too,
56;1;3;Betrayer Moon;prostitute;and he--
57;1;3;Betrayer Moon;geralt;What's in Temeria?
58;1;3;Betrayer Moon;prostitute;Do you not just hear me talking?
59;1;3;Betrayer Moon;geralt;Shouldn't you know
60;1;3;Betrayer Moon;geralt;when someone's pretending?
61;1;3;Betrayer Moon;;[pounding on door]
62;1;3;Betrayer Moon;;[scoffs]
63;1;3;Betrayer Moon;alfons;[man] It's been three nights.
64;1;3;Betrayer Moon;alfons;Pay up or get out!
65;1;3;Betrayer Moon;geralt;Temeria?
66;1;3;Betrayer Moon;prostitute;[sighs] It's got a pest problem.
67;1;3;Betrayer Moon;prostitute;A few miners rounded up 3,000 orens to have it killed.
68;1;3;Betrayer Moon;prostitute;Your boy took the coin and ran.
69;1;3;Betrayer Moon;;[banging on door]
70;1;3;Betrayer Moon;alfons;[man] You hear me?
71;1;3;Betrayer Moon;;[banging continues]
72;1;3;Betrayer Moon;geralt;Thank you... for...
73;1;3;Betrayer Moon;geralt;everything.
74;1;3;Betrayer Moon;alfons;[man] Witcher!
75;1;3;Betrayer Moon;;[banging persists]
76;1;3;Betrayer Moon;prostitute;Hmm.
77;1;3;Betrayer Moon;prostitute;What about the room?
78;1;3;Betrayer Moon;;[door crashes open]
79;1;3;Betrayer Moon;;[snorts]
80;1;3;Betrayer Moon;;[nickers]
