Number;Start time in milliseconds;End time in milliseconds;"Text"
1;28125;31416,6667;"[man] Where would you be headin',
little thief?"
2;31875;33041,6667;"Skellige."
3;33125;34208,3334;"[man] Hmm."
4;34833,3334;35833,3334;"[horse neighs]"
5;35916,6667;37916,6667;"Do you know how long it is
to the coast?"
6;38458,3334;39791,6667;"With a fast horse,"
7;40541,6667;41500;"about a week."
8;42250;43416,6667;"And what about by foot?"
9;43958,3334;45166,6667;"[chuckles]"
10;47041,6667;48541,6667;"You need to be careful, child."
11;49375;51291,6667;"This place isn't safe if you're alone."
12;53250;55250;"Then it's the same as every other place."
13;59541,6667;61541,6667;"[faint drumbeat]"
14;63875;65375;"[bird calls]"
15;66791,6667;68791,6667;"[stirring music plays]"
16;74583,3334;76791,6667;"-[rhythmic marching]
-[men calling out]"
17;83083,3334;84791,6667;"[men yelling]"
18;99250;100625;"[door opens]"
19;101458,3334;103458,3334;"[door clanks shut]"
20;106625;108750;"Out of nowhere, you send word to meet you."
21;109291,6667;111333,3334;"All this time, I thought you were dead."
22;111416,6667;115000;"I told you last time I was in Cintra
that I wasn't coming back."
23;115333,3334;116708,3334;"Yet here you are."
24;117166,6667;118208,3334;"[Geralt grunts softly]"
25;118291,6667;119125;"[Mousesack] Why?"
26;121375;123333,3334;"You've come for your Child of Surprise..."
27;123791,6667;124750;"haven't you?"
28;124833,3334;125833,3334;"The opposite."
29;125916,6667;129541,6667;"I want you to tell me that he's safe
and healthy so I can keep on riding."
30;129625;130458,3334;"He..."
31;131583,3334;132750;"is a girl."
32;133750;135000;"[chuckles]"
33;135083,3334;135958,3334;"Yes."
34;136416,6667;140041,6667;"Princess Cirilla has been raised
by Calanthe since her parents died."
35;141083,3334;141916,6667;"What?"
36;142000;144583,3334;"[Mousesack]
Pavetta and Duny's ship was lost at sea."
37;144666,6667;147083,3334;"Have you been hiding your head
in the sand?"
38;150500;151500;"Why now?"
39;153416,6667;155666,6667;"Why do you think she's not safe?"
40;156708,3334;159166,6667;"I saw an army making camp
at the Amell Pass."
41;160250;162083,3334;"A sea of black and gold."
42;163583,3334;165958,3334;"[Mousesack] Nilfgaard is set
on sweeping the Continent."
43;166041,6667;168375;"But since that night at Pavetta's banquet,"
44;168458,3334;172583,3334;"the Queen's done everything she can
to keep her family safe from threats."
45;173291,6667;174791,6667;"Shut the walls."
46;174875;176041,6667;"Fortified the gates."
47;176958,3334;178458,3334;"[running footsteps]"
48;179750;181291,6667;"Sent assassins!"
49;181708,3334;182541,6667;"What?"
50;183083,3334;184500;"Were you followed?"
51;185208,3334;186041,6667;"No!"
52;186416,6667;187458,3334;"Hmm."
53;209541,6667;211166,6667;"[clattering]"
54;214500;215458,3334;"[rattling]"
55;236458,3334;237541,6667;"Hmm?"
56;239291,6667;240125;"Hmm."
57;248125;248958,3334;"[yells]"
58;249041,6667;251250;"You want me, you kill him first!"
59;255833,3334;256708,3334;"Geralt!"
60;259666,6667;260875;"Do something!"
61;260958,3334;263625;"-This is on your Queen.
-We will both die."
62;264083,3334;265500;"Blame destiny."
63;266416,6667;267666,6667;"[all yelling]"
64;271208,3334;273916,6667;"[theme music playing]"
65;284708,3334;287041,6667;"The Nilfgaardians don't strike me
as foolish."
66;287541,6667;289541,6667;"Coming at us now would be right stupid."
67;290000;294166,6667;"The army whose stink I can smell 
on a strong breeze is one I worry about."
68;295000;297416,6667;"So we prepare, same as always."
69;298666,6667;301166,6667;"When does the King return from Skellige,
Your Majesty?"
70;301250;304125;"This morning.
Be good to see that craggy face."
71;304208,3334;306875;"Be better to see the 50 ships
the Skelligens promised."
72;308625;309583,3334;"Your Majesty."
73;310541,6667;311958,3334;"No offense taken, Danek."
74;312916,6667;313916,6667;"You know I agree."
75;314416,6667;317500;"We've taken on every pissant pretender
for a dozen years."
76;318208,3334;320791,6667;"If Nilfgaard need to learn the lesson
the rest of them have,"
77;320875;322500;"we'll be ready for them."
78;322583,3334;325375;"I want reports from the Amell Pass
every hour..."
79;328791,6667;330291,6667;"[guards drawing swords]"
80;333083,3334;335000;"I warned you about coming back."
81;335458,3334;339583,3334;"I've been away 12 years
and I'd planned on staying that way..."
82;340041,6667;341833,3334;"till you sent eight men to kill me."
83;346625;348000;"Well, I'm asking you now."
84;349416,6667;351166,6667;"Do not do this."
85;351250;353958,3334;"If you treated me more like a friend
than a threat..."
86;355416,6667;357625;"Do you know the difference anymore?"
87;360416,6667;361375;"I'm here"
88;361875;363125;"to protect the girl."
89;363791,6667;365708,3334;"Who I've raised as my own."
90;366541,6667;368041,6667;"Why would I give my only heir"
91;368125;370833,3334;"to someone who never cared enough
to come back for her?"
92;371708,3334;374166,6667;"Move along, Witcher.
I'll pay whatever you want."
93;374250;375791,6667;"I can't be bought."
94;378666,6667;379958,3334;"You should remember."
95;380041,6667;383083,3334;"Money can't undo the Law of Surprise."
96;384291,6667;387791,6667;"Kings who've tried to outbid destiny"
97;387875;389458,3334;"end up on pikes."
98;390208,3334;392750;"And if I win the war but lose Ciri,"
99;393375;395166,6667;"what victory is that?"
100;396041,6667;397250;"[swords clanking]"
101;398708,3334;402291,6667;"Maybe that army won't come,
and if they do, maybe you'll be ready."
102;402375;405791,6667;"But if you have any doubt in your mind
that she's safe here,"
