index,season_no,episode_no,episode_name,Character,Text
0,1,1,A Grain of Truth,,[lute playing]
1,1,1,A Grain of Truth,,"[Jaskier]  ♪ I'm weak, love, and I am wanting ♪"
2,1,1,A Grain of Truth,,♪ If this is the path I must trudge ♪
3,1,1,A Grain of Truth,,♪ I'll welcome my sentence ♪
4,1,1,A Grain of Truth,,♪ Give to you my penance ♪
5,1,1,A Grain of Truth,,"♪ Gorgeous garroter, jury and judge ♪"
6,1,1,A Grain of Truth,,♪ Lovely garroter... ♪
7,1,1,A Grain of Truth,,♪ Gorgeous garro-- ♪
8,1,1,A Grain of Truth,,"Which one do you prefer? Lovely""? ""Gorgeous""?"""
9,1,1,A Grain of Truth,,[horse snorts]
10,1,1,A Grain of Truth,,"Is the whole metaphor landing, or is it too cerebral?"
11,1,1,A Grain of Truth,,It's been an hour.
12,1,1,A Grain of Truth,,[Jaskier]  ♪ Gorgeous... ♪
13,1,1,A Grain of Truth,,Let's get on before the beast gets hungry again.
14,1,1,A Grain of Truth,,But we made a deal.
15,1,1,A Grain of Truth,,We made a deal with a livin' witcher.
16,1,1,A Grain of Truth,,No sense in hangin' around to pay a dead one.
17,1,1,A Grain of Truth,,[Jaskier] ♪ Gorgeous garro-- ♪
18,1,1,A Grain of Truth,,[man grunts]
19,1,1,A Grain of Truth,,"Bollocks! Oi! No. No, no, no! No!"
20,1,1,A Grain of Truth,,"Aah! You stop-- stop that, or I-- I'll, uh..."
21,1,1,A Grain of Truth,,Or you'll what?
22,1,1,A Grain of Truth,,Sing us to death?
23,1,1,A Grain of Truth,,Perhaps you did not hear the man.
24,1,1,A Grain of Truth,,[Jaskier] Yeah! Perhaps you didn't...
25,1,1,A Grain of Truth,,"Di-- Sorry, who are you?"
26,1,1,A Grain of Truth,,"Move along,"
27,1,1,A Grain of Truth,,old man.
28,1,1,A Grain of Truth,,Do as the bard asks or I'll be forced to draw my weapons.
29,1,1,A Grain of Truth,,What weapons?
30,1,1,A Grain of Truth,,I see no steel 'ere.
31,1,1,A Grain of Truth,,Hm!
32,1,1,A Grain of Truth,,[cries out]
33,1,1,A Grain of Truth,,[yells]
34,1,1,A Grain of Truth,,Oh! [exclaims]
35,1,1,A Grain of Truth,,Steel won't be necessary.
36,1,1,A Grain of Truth,,[Jaskier breathing heavily]
37,1,1,A Grain of Truth,,I believe those are mine.
38,1,1,A Grain of Truth,,"[Jaskier stammers]  Geralt, they--  With the--"
39,1,1,A Grain of Truth,,This woman just killed a man with her bare hands
40,1,1,A Grain of Truth,,for trying to steal your horse.
41,1,1,A Grain of Truth,,"Maybe she'll make a better travel companion, then."
42,1,1,A Grain of Truth,,"Uh, I'm sorry, who are you, exactly?"
43,1,1,A Grain of Truth,,I am Borch Three Jackdaws.
44,1,1,A Grain of Truth,,"These are my companions, Téa and Véa."
45,1,1,A Grain of Truth,,"I've been looking for you, Geralt of Rivia."
46,1,1,A Grain of Truth,,"This is a first for me, and that's saying something."
47,1,1,A Grain of Truth,,I've very few firsts left.
48,1,1,A Grain of Truth,,But to dine with the Geralt of Rivia...
49,1,1,A Grain of Truth,,Your adventures are legend.
50,1,1,A Grain of Truth,,You're welcome.
51,1,1,A Grain of Truth,,"Est Est, small."
52,1,1,A Grain of Truth,,I suppose you want me to tell you why I've sought out
53,1,1,A Grain of Truth,,such an accomplished monster hunter.
54,1,1,A Grain of Truth,,Don't trouble yourself on my account.
55,1,1,A Grain of Truth,,[chuckling]
56,1,1,A Grain of Truth,,[Geralt] I just want food.
57,1,1,A Grain of Truth,,I knew I'd like you.
58,1,1,A Grain of Truth,,That was the first reason.
59,1,1,A Grain of Truth,,One of everything you have. And keep the ale coming!
60,1,1,A Grain of Truth,,[innkeeper] On its way!
61,1,1,A Grain of Truth,,The second one is this.
62,1,1,A Grain of Truth,,"A short while ago,"
63,1,1,A Grain of Truth,,a green dragon landed across the border in King Niedamir's mountains.
64,1,1,A Grain of Truth,,I know what you're thinking.
65,1,1,A Grain of Truth,,"Impossible, dragons are so rare."""""
66,1,1,A Grain of Truth,,But it's true.
67,1,1,A Grain of Truth,,Locals spotted it and went after it in search of treasure.
68,1,1,A Grain of Truth,,"Of course, they succeeded only in wounding the creature"
