index;season_no;episode_no;episode_name;Character;Text
0;1;8;Much More;;[man] Where would you be headin', little thief?
1;1;8;Much More;Geralt;[Geralt] I will take her, protect her,
2;1;8;Much More;Geralt;and bring her back unharmed, I promise you that.
3;1;8;Much More;;[horse nickers]
4;1;8;Much More;;[grunts]
5;1;8;Much More;;[Roach whinnies]
6;1;8;Much More;Geralt;Ill winds follow grave Yurgas.
7;1;8;Much More;Yurga;If I was a Yurga, I'd be taking their belongings, Butcher.
8;1;8;Much More;Geralt;If I was a butcher, you'd be amongst the corpses.
9;1;8;Much More;Yurga;I was goin' home to my family when I came upon these poor souls.
10;1;8;Much More;Yurga;Cintran refugees. Dead at least a week.
11;1;8;Much More;Yurga;Now they're a feast for the crows.
12;1;8;Much More;Geralt;They're not crows.
13;1;8;Much More;;[flies buzzing]
14;1;8;Much More;Yurga;[man] Wolves?
15;1;8;Much More;Geralt;No.
16;1;8;Much More;Yurga;With the hands of two, I could move quicker.
17;1;8;Much More;Geralt;The only thing you should do quickly is flee.
18;1;8;Much More;;[grunts]
19;1;8;Much More;Geralt;[Geralt] Come on, Roach, back to Kaer Morhen.
20;1;8;Much More;Yurga;[man] Don't leave!
21;1;8;Much More;Yurga;Look at these people.
22;1;8;Much More;Yurga;Innocent people, killed for what?
23;1;8;Much More;Yurga;So Nilfgaard can have more land?
24;1;8;Much More;;[grunts]
25;1;8;Much More;Yurga;We owe it to 'em to do better.
26;1;8;Much More;Geralt;I'm not better.
27;1;8;Much More;;[grunts]
28;1;8;Much More;;[sighs]
29;1;8;Much More;;[hissing]
30;1;8;Much More;;[yelling]
31;1;8;Much More;;[screaming]
32;1;8;Much More;;[sword slashes]
33;1;8;Much More;;[creature snarls]
34;1;8;Much More;;[panting]
35;1;8;Much More;Geralt;Go home.
36;1;8;Much More;Yurga;I can help.
37;1;8;Much More;Geralt;One bite will kill you.
38;1;8;Much More;Yurga;Or you.
39;1;8;Much More;Geralt;Go... home!
40;1;8;Much More;Yurga;All right... [grunting]
41;1;8;Much More;;[flies buzzing]
42;1;8;Much More;;[exhales]
43;1;8;Much More;;[buzzing intensifies]
44;1;8;Much More;;[screeching and growling]
45;1;8;Much More;;[rumbling]
46;1;8;Much More;;[snarling]
47;1;8;Much More;;[snarls]
48;1;8;Much More;;[snarling]
49;1;8;Much More;;[panting]
50;1;8;Much More;;[grunts]
51;1;8;Much More;Geralt;Fuck.
52;1;8;Much More;;[grunts]
53;1;8;Much More;;[groans]
54;1;8;Much More;;[sighs]
55;1;8;Much More;Geralt;Not a happy ever after, after all.
56;1;8;Much More;Geralt;A fitting end...
57;1;8;Much More;Geralt;huh, Roach?
58;1;8;Much More;Goldencheeks;[woman] Come on, girl.
59;1;8;Much More;Goldencheeks;Get up now.
60;1;8;Much More;;[flies buzzing]
61;1;8;Much More;;[Ciri shuddering]
62;1;8;Much More;Goldencheeks;Let's get you out of here.
63;1;8;Much More;Goldencheeks;What happened?
64;1;8;Much More;Ciri;They came for me.
65;1;8;Much More;Goldencheeks;[woman] Well, then...
66;1;8;Much More;Goldencheeks;they got what they deserved.
67;1;8;Much More;Goldencheeks;You're safe now.
68;1;8;Much More;Goldencheeks;It's okay.
69;1;8;Much More;Goldencheeks;It's okay.
70;1;8;Much More;Goldencheeks;Let me take you home, girl. Something's in the air.
71;1;8;Much More;;[upbeat music playing]
72;1;8;Much More;Yennefer;[Yennefer] There are, what, 60 of us? And we're the saviors of the Continent?
73;1;8;Much More;vilgefortz;Well, the good news is there's only one way to move north:
74;1;8;Much More;vilgefortz;through Sodden Hill.
75;1;8;Much More;vilgefortz;We must get to the Elven keep that guards it before Nilfgaard does.
76;1;8;Much More;Yennefer;When is that?
77;1;8;Much More;vilgefortz;My sources say the general's moving troops to the Yaruga Valley.
78;1;8;Much More;vilgefortz;They're two days away.
79;1;8;Much More;vilgefortz;If we cut them off at the choke hold,
80;1;8;Much More;Tissaia;we can still stop the Empire's progress.
81;1;8;Much More;Tissaia;We have sent word to the Northern Kingdoms.
82;1;8;Much More;Tissaia;Temeria and Kaedwen will join us to defend their lands.
83;1;8;Much More;Yennefer;When is that?
84;1;8;Much More;vilgefortz;Within two days. Hopefully.
85;1;8;Much More;Tissaia;We will fortify the keep until they arrive.
86;1;8;Much More;Tissaia;That's the strategy.
87;1;8;Much More;Yennefer;A military strategy.
88;1;8;Much More;Yennefer;We're mages. Damn powerful ones.
89;1;8;Much More;;[men shouting in distance]
90;1;8;Much More;Triss;Does Nilfgaard really believe they can take the whole Continent?
91;1;8;Much More;Yennefer;They've been collecting soldiers,
92;1;8;Much More;Yennefer;occupying territories...
93;1;8;Much More;Yennefer;letting loose their beliefs like an epidemic.
94;1;8;Much More;Yennefer;Istredd was telling me.
95;1;8;Much More;Sabrina;You saw Is?
96;1;8;Much More;Yennefer;I saw it first hand in Nazair.
97;1;8;Much More;Yennefer;Nilfgaard take people down to their worst,
98;1;8;Much More;Yennefer;then give them something to cling to.
99;1;8;Much More;Yennefer;Even if it's shitty ale.
100;1;8;Much More;Tissaia;That's why we're here.
101;1;8;Much More;Tissaia;Because sometimes it's not shitty ale.
102;1;8;Much More;Tissaia;Sometimes it's a bed in a pigpen.
103;1;8;Much More;Tissaia;You have to make a choice to fight back.
104;1;8;Much More;Yennefer;If Nilfgaard wanted to take the North,
105;1;8;Much More;Yennefer;why would they expose themselves by sacking Cintra first?
106;1;8;Much More;Yennefer;Why wouldn't they just push through Sodden and surprise everyone?
107;1;8;Much More;vilgefortz;First, she shuns the military, now she's a military expert.
108;1;8;Much More;Yennefer;First, he speaks to her as though she's not there,
109;1;8;Much More;Yennefer;and then he loses a limb.
110;1;8;Much More;;[chuckles]
111;1;8;Much More;vilgefortz;You're a talented mage.
112;1;8;Much More;vilgefortz;An asset, to be sure.
113;1;8;Much More;vilgefortz;Despite being a...
114;1;8;Much More;Yennefer;An inconvenient arsehole?
115;1;8;Much More;vilgefortz;I couldn't have said it better myself.
116;1;8;Much More;vilgefortz;Why did you come?
117;1;8;Much More;Yennefer;[Yennefer] We've been walking for hours
118;1;8;Much More;Yennefer;and you still haven't answered my question.
119;1;8;Much More;vilgefortz;[Vilgefortz] If my military experience has taught me anything,
120;1;8;Much More;vilgefortz;it's that the bigger picture's left for history,
121;1;8;Much More;vilgefortz;which makes our task very clear:
122;1;8;Much More;vilgefortz;hold Sodden, save the Continent.
123;1;8;Much More;vilgefortz;Are you in?
124;1;8;Much More;Yennefer;Is this what we're protecting?
125;1;8;Much More;Tissaia;[Tissaia] For hundreds of years,
126;1;8;Much More;Tissaia;this keep has guarded the narrowest parts of the Yaruga River.
127;1;8;Much More;Tissaia;Now it's the only thing standing between Nilfgaard and the North.
128;1;8;Much More;Man;[man] These people, they have been pushed here from their homes.
129;1;8;Much More;Man;They've seen the scorched earth,
130;1;8;Much More;Man;the fields of corpses stretching between Gemmera and this river.
131;1;8;Much More;Man;Such cruelty.
132;1;8;Much More;Tissaia;It's Nilfgaard's way.
133;1;8;Much More;Tissaia;There's nothing like a higher purpose to permit men to do the unspeakable.
134;1;8;Much More;Man;[man] But it's all any of us have left.
135;1;8;Much More;Man;We have to defend it.
136;1;8;Much More;Sabrina;That's heroic.
137;1;8;Much More;Yennefer;And stupid.
138;1;8;Much More;Yennefer;Take the children and hide before they get here.
139;1;8;Much More;Man;There is no more hiding from Nilfgaard.
140;1;8;Much More;Man;They have come from beyond the mountains to destroy the world.
141;1;8;Much More;Triss;You still believe it can be saved?
142;1;8;Much More;Man;I suppose I do.
143;1;8;Much More;Man;With some help.
144;1;8;Much More;;[people clamoring]
145;1;8;Much More;;[chanting in Elder]
146;1;8;Much More;;[continues chanting]
147;1;8;Much More;;[troops marching]
148;1;8;Much More;;[horses neighing]
149;1;8;Much More;;[indistinct chatter]
150;1;8;Much More;;[melancholy tune playing on rebec]
151;1;8;Much More;;[man] One here, on the east gate.
152;1;8;Much More;Yennefer;Is this all we have?
153;1;8;Much More;woman 2;Aye.
154;1;8;Much More;woman 2;I'm afraid so.
155;1;8;Much More;woman 2;We tried to get more fletchin', but...
156;1;8;Much More;woman 2;Nilfgaard's blocked the roads,
157;1;8;Much More;woman 2;taken everythin' from us.
158;1;8;Much More;woman 2;Nothin' left to do but wait for 'em to attack.
159;1;8;Much More;;[sighs]
160;1;8;Much More;Yennefer;[Yennefer] You could be down there,
161;1;8;Much More;Yennefer;with the others.
162;1;8;Much More;woman 2;[woman] No.
163;1;8;Much More;woman 2;I can't.
164;1;8;Much More;woman 2;I lost my farm not a sennight ago...
165;1;8;Much More;woman 2;to soldiers who...
166;1;8;Much More;woman 2;claimed it belonged to them.
167;1;8;Much More;woman 2;Took all me sucklin's, the bastards.
168;1;8;Much More;woman 2;I raised 'em,
169;1;8;Much More;woman 2;all on me own after me husband died.
170;1;8;Much More;woman 2;But now I have to fight back.
171;1;8;Much More;;[whooshing]
172;1;8;Much More;;[rustling]
173;1;8;Much More;woman 2;I wish I could do that.
174;1;8;Much More;Yennefer;It's magic.
175;1;8;Much More;Yennefer;It's not real.
