index;season_no;episode_no;episode_name;Character;Text
0;1;4;Of Banquets, Bastards and Burials;;[whispering voices overlapping]
1;1;4;Of Banquets, Bastards and Burials;;Ciri. Ciri...
2;1;4;Of Banquets, Bastards and Burials;;[thumping]
3;1;4;Of Banquets, Bastards and Burials;;[voice whispering]
4;1;4;Of Banquets, Bastards and Burials;;[voices continue whispering softly]
5;1;4;Of Banquets, Bastards and Burials;;[whispering growing in intensity]
6;1;4;Of Banquets, Bastards and Burials;;[gasps]
7;1;4;Of Banquets, Bastards and Burials;;[wings fluttering]
8;1;4;Of Banquets, Bastards and Burials;;[birdsong]
9;1;4;Of Banquets, Bastards and Burials;;[twig cracks]
10;1;4;Of Banquets, Bastards and Burials;;[rustling]
11;1;4;Of Banquets, Bastards and Burials;Ciri;Dara?
12;1;4;Of Banquets, Bastards and Burials;;[twig cracks]
13;1;4;Of Banquets, Bastards and Burials;;[gasps]
14;1;4;Of Banquets, Bastards and Burials;;[all grunt]
15;1;4;Of Banquets, Bastards and Burials;Ciri;Please...
16;1;4;Of Banquets, Bastards and Burials;Ciri;don't hurt me.
17;1;4;Of Banquets, Bastards and Burials;triad;[in Elder] Keep your aim true.
18;1;4;Of Banquets, Bastards and Burials;ciri;I'm lost.
19;1;4;Of Banquets, Bastards and Burials;Ciri;I don't know... how I got here.
20;1;4;Of Banquets, Bastards and Burials;Ciri;Please.
21;1;4;Of Banquets, Bastards and Burials;dryad;[in Elder] If she runs, kill her.
22;1;4;Of Banquets, Bastards and Burials;Ciri;Where are you taking me?
23;1;4;Of Banquets, Bastards and Burials;Ciri;I need to find Dara. Please!
24;1;4;Of Banquets, Bastards and Burials;dryad;What is your name?
25;1;4;Of Banquets, Bastards and Burials;Ciri;Fiona.
26;1;4;Of Banquets, Bastards and Burials;Ciri;Where am I? How did I get--
27;1;4;Of Banquets, Bastards and Burials;dryad;You are in Brokilon Forest.
28;1;4;Of Banquets, Bastards and Burials;dryad;Follow me.
29;1;4;Of Banquets, Bastards and Burials;;I tell you no lie,
30;1;4;Of Banquets, Bastards and Burials;;it swallowed the whole village, it did.
31;1;4;Of Banquets, Bastards and Burials;;[people gasp and murmur]
32;1;4;Of Banquets, Bastards and Burials;;Not a bone to be found!
33;1;4;Of Banquets, Bastards and Burials;;Oh, don't give me that look, shitling.
34;1;4;Of Banquets, Bastards and Burials;;That's why we had to call him...
35;1;4;Of Banquets, Bastards and Burials;;The White Wolf!
36;1;4;Of Banquets, Bastards and Burials;;And he stood in the middle of that frozen lake
37;1;4;Of Banquets, Bastards and Burials;;like he knew it was coming for him.
38;1;4;Of Banquets, Bastards and Burials;;The ice cracked open
39;1;4;Of Banquets, Bastards and Burials;;and a selkiemore shot out!
40;1;4;Of Banquets, Bastards and Burials;;Oh, you've never seen one,
41;1;4;Of Banquets, Bastards and Burials;;but it'd take down a ship with its cavernous mouth
42;1;4;Of Banquets, Bastards and Burials;;full of devil's teeth!
43;1;4;Of Banquets, Bastards and Burials;;[gasping]
44;1;4;Of Banquets, Bastards and Burials;;And it... swallowed...
45;1;4;Of Banquets, Bastards and Burials;;that witcher...
46;1;4;Of Banquets, Bastards and Burials;;whole!
47;1;4;Of Banquets, Bastards and Burials;Jaskier;Oh, this is brilliant!
48;1;4;Of Banquets, Bastards and Burials;Jaskier;Oh, sorry. It's just Geralt's usually so stingy with the details.
49;1;4;Of Banquets, Bastards and Burials;Jaskier;Uh... and then what happened?
50;1;4;Of Banquets, Bastards and Burials;;He died.
51;1;4;Of Banquets, Bastards and Burials;;[all gasp]
52;1;4;Of Banquets, Bastards and Burials;;Eh... He's fine.
53;1;4;Of Banquets, Bastards and Burials;;Look, I was there.
54;1;4;Of Banquets, Bastards and Burials;;I saw it with my own--
55;1;4;Of Banquets, Bastards and Burials;;[crash]
56;1;4;Of Banquets, Bastards and Burials;Jaskier;See?
57;1;4;Of Banquets, Bastards and Burials;;[gasping]
58;1;4;Of Banquets, Bastards and Burials;;[chuckling]
59;1;4;Of Banquets, Bastards and Burials;;Oh...
60;1;4;Of Banquets, Bastards and Burials;;What's that stench?
61;1;4;Of Banquets, Bastards and Burials;Geralt;Selkiemore guts.
62;1;4;Of Banquets, Bastards and Burials;;[man] Ugh!
63;1;4;Of Banquets, Bastards and Burials;Geralt;Had to get it from the inside. I'll take what I'm owed.
64;1;4;Of Banquets, Bastards and Burials;Jaskier;♪ Toss a coin to your witcher ♪
65;1;4;Of Banquets, Bastards and Burials;Jaskier;♪ O, Valley of Plenty ♪
66;1;4;Of Banquets, Bastards and Burials;Jaskier;♪ Whoa ♪
67;1;4;Of Banquets, Bastards and Burials;Jaskier;[all] ♪ Toss a coin to your witcher ♪
68;1;4;Of Banquets, Bastards and Burials;Jaskier;♪ A friend of humanity ♪
69;1;4;Of Banquets, Bastards and Burials;Geralt;Yikes.
70;1;4;Of Banquets, Bastards and Burials;;[cheering]
71;1;4;Of Banquets, Bastards and Burials;Jaskier;Thank you!
72;1;4;Of Banquets, Bastards and Burials;Jaskier;You're welcome.
73;1;4;Of Banquets, Bastards and Burials;Jaskier;And now, Witcher, it's time to repay your debt.
74;1;4;Of Banquets, Bastards and Burials;Jaskier;"What debt?"" you're probably asking "
76;1;4;Of Banquets, Bastards and Burials;Jaskier;Well, I'll tell you.
77;1;4;Of Banquets, Bastards and Burials;Jaskier;I've made you famous, Witcher.
78;1;4;Of Banquets, Bastards and Burials;Jaskier;By rights, I should be claiming ten percent of all your coin,
79;1;4;Of Banquets, Bastards and Burials;Jaskier;but instead,  what I'm asking for is a teeny,
80;1;4;Of Banquets, Bastards and Burials;Jaskier;teeny-weeny little favor.
81;1;4;Of Banquets, Bastards and Burials;Geralt;Fuck off, bard.
82;1;4;Of Banquets, Bastards and Burials;Jaskier;For one measly night of service,
83;1;4;Of Banquets, Bastards and Burials;Jaskier;you will gain a cornucopia of earthly delights.
84;1;4;Of Banquets, Bastards and Burials;Jaskier;The greatest masters of the culinary arts
85;1;4;Of Banquets, Bastards and Burials;Jaskier;crafting morsels worthy of the gods.
86;1;4;Of Banquets, Bastards and Burials;Jaskier;Maidens that would make the sun itself blush
87;1;4;Of Banquets, Bastards and Burials;Jaskier;with a single comely smile.
88;1;4;Of Banquets, Bastards and Burials;Jaskier;And rivers of the sweetest of drinks from the rarest of--
89;1;4;Of Banquets, Bastards and Burials;Jaskier;Fuck!
90;1;4;Of Banquets, Bastards and Burials;Jaskier;Food, women and wine, Geralt!
91;1;4;Of Banquets, Bastards and Burials;;[grunts]
92;1;4;Of Banquets, Bastards and Burials;Jaskier;Now, now, stop your boorish grunts of protest.
93;1;4;Of Banquets, Bastards and Burials;Jaskier;It is one night bodyguarding your very best friend in the whole wide world.
94;1;4;Of Banquets, Bastards and Burials;Jaskier;How hard could it be?
95;1;4;Of Banquets, Bastards and Burials;Geralt;I'm not your friend.
96;1;4;Of Banquets, Bastards and Burials;Jaskier;Oh. Oh, really?
97;1;4;Of Banquets, Bastards and Burials;Jaskier;Oh, you usually just let strangers rub chamomile onto your lovely bottom?
98;1;4;Of Banquets, Bastards and Burials;Jaskier;Yeah, well, yeah, exactly. That's what I thought.
99;1;4;Of Banquets, Bastards and Burials;Jaskier;Every lord, knight and twopenny king worth his salt
100;1;4;Of Banquets, Bastards and Burials;Jaskier;will be at this betrothal.
101;1;4;Of Banquets, Bastards and Burials;Jaskier;The Lioness of Cintra herself will sing the praises
102;1;4;Of Banquets, Bastards and Burials;Jaskier;of Jaskier's triumphant performance!
103;1;4;Of Banquets, Bastards and Burials;Geralt;How many of these lords want to kill you?
104;1;4;Of Banquets, Bastards and Burials;Jaskier;Hard to say. One stops keeping count after a while.
105;1;4;Of Banquets, Bastards and Burials;Jaskier;Wives, concubines, mothers sometimes.
106;1;4;Of Banquets, Bastards and Burials;Jaskier;Ooh, yeah, that face!
107;1;4;Of Banquets, Bastards and Burials;Jaskier;Ooh!
108;1;4;Of Banquets, Bastards and Burials;Jaskier;Scary face!
109;1;4;Of Banquets, Bastards and Burials;Jaskier;No lord in his right mind will come close
110;1;4;Of Banquets, Bastards and Burials;Jaskier;if you're standing next to me with a puss like that.
111;1;4;Of Banquets, Bastards and Burials;Jaskier;Ooh, on second thoughts...
112;1;4;Of Banquets, Bastards and Burials;Jaskier;might want to lay off the Cintran ale.
113;1;4;Of Banquets, Bastards and Burials;;[groans]
114;1;4;Of Banquets, Bastards and Burials;Jaskier;A clear head would be best.
115;1;4;Of Banquets, Bastards and Burials;Geralt;I will not suffer tonight sober
116;1;4;Of Banquets, Bastards and Burials;Geralt;just because you hid your sausage in the wrong royal pantry.
117;1;4;Of Banquets, Bastards and Burials;Geralt;I'm not killing anyone. Not over the petty squabbles of men.
118;1;4;Of Banquets, Bastards and Burials;Jaskier;Yes, yes, yes.
119;1;4;Of Banquets, Bastards and Burials;Jaskier;You never get involved. Except you actually do,
120;1;4;Of Banquets, Bastards and Burials;Jaskier;all of the time.
121;1;4;Of Banquets, Bastards and Burials;Jaskier;Ugh. Is this what happens when you get old?
122;1;4;Of Banquets, Bastards and Burials;Jaskier;You get unbearably crochety and cantankerous?
123;1;4;Of Banquets, Bastards and Burials;Jaskier;Actually, I've always wanted to know, do witchers ever retire?
124;1;4;Of Banquets, Bastards and Burials;Geralt;Yeah. When they slow and get killed.
125;1;4;Of Banquets, Bastards and Burials;Jaskier;Come on, you must want something for yourself
126;1;4;Of Banquets, Bastards and Burials;Jaskier;once all this... monster hunting nonsense is over with.
127;1;4;Of Banquets, Bastards and Burials;Geralt;I want nothing.
128;1;4;Of Banquets, Bastards and Burials;Jaskier;Well, who knows?
129;1;4;Of Banquets, Bastards and Burials;Jaskier;Maybe someone out there will want you.
130;1;4;Of Banquets, Bastards and Burials;Geralt;I need no one.
131;1;4;Of Banquets, Bastards and Burials;Geralt;And the last thing I want is someone needing me.
132;1;4;Of Banquets, Bastards and Burials;Jaskier;And yet...
133;1;4;Of Banquets, Bastards and Burials;Jaskier;here we are.
134;1;4;Of Banquets, Bastards and Burials;Geralt;Hm.
135;1;4;Of Banquets, Bastards and Burials;Geralt;Where the fuck are my clothes, Jaskier?
136;1;4;Of Banquets, Bastards and Burials;Jaskier;Ah. Well, uh, they were sort of covered in selkiemore guts,
137;1;4;Of Banquets, Bastards and Burials;Jaskier;so I sent them away to be washed.
138;1;4;Of Banquets, Bastards and Burials;Jaskier;Anyway, you're not going tonight as a witcher.
139;1;4;Of Banquets, Bastards and Burials;;[lively folk music playing]
140;1;4;Of Banquets, Bastards and Burials;Jaskier;Right, so stick close to me, look mean and pretend you're a mute.
141;1;4;Of Banquets, Bastards and Burials;Jaskier;Can't have anyone finding out who you are.
142;1;4;Of Banquets, Bastards and Burials;Mousesack;Geralt of Rivia, the mighty Witcher!
143;1;4;Of Banquets, Bastards and Burials;Jaskier;Oh, shit.
144;1;4;Of Banquets, Bastards and Burials;Mousesack;I haven't seen you since the plague.
145;1;4;Of Banquets, Bastards and Burials;Geralt;Good times, Mousesack.
146;1;4;Of Banquets, Bastards and Burials;;[laughs]
147;1;4;Of Banquets, Bastards and Burials;Mousesack;I've missed your sour complexion.
148;1;4;Of Banquets, Bastards and Burials;Mousesack;I feared this would be a dull affair,
149;1;4;Of Banquets, Bastards and Burials;Mousesack;but now the White Wolf is here, perhaps all is not lost.
150;1;4;Of Banquets, Bastards and Burials;Mousesack;Why are you dressed like a sad silk trader?
151;1;4;Of Banquets, Bastards and Burials;Jaskier;[Jaskier] What? 
152;1;4;Of Banquets, Bastards and Burials;Mousesack;Walk with me.
153;1;4;Of Banquets, Bastards and Burials;all;To Mousesack!
154;1;4;Of Banquets, Bastards and Burials;all;[all cheering] Yeah!
155;1;4;Of Banquets, Bastards and Burials;all;To Mousesack!
