Number;Start time in milliseconds;End time in milliseconds;"Text"
119;411458,3334;412500;"here we are."
120;412583,3334;413416,6667;"Hm."
121;415166,6667;416666,6667;"Where the fuck are my clothes, Jaskier?"
122;416750;420208,3334;"Ah. Well, uh, they were sort of covered
in selkiemore guts,"
123;420291,6667;421750;"so I sent them away to be washed."
124;421833,3334;425458,3334;"Anyway, you're not going tonight
as a witcher."
125;425541,6667;427666,6667;"[lively folk music playing]"
126;433000;435666,6667;"Right, so stick close to me, look mean
and pretend you're a mute."
127;435750;437416,6667;"Can't have anyone finding out
who you are."
128;437500;441125;"Geralt of Rivia, the mighty Witcher!"
129;441208,3334;442041,6667;"Oh, shit."
130;442458,3334;444333,3334;"I haven't seen you since the plague."
131;445500;446708,3334;"Good times, Mousesack."
132;447166,6667;448333,3334;"[laughs]"
133;448958,3334;451583,3334;"I've missed your sour complexion."
134;451666,6667;453291,6667;"I feared this would be a dull affair,"
135;453375;455875;"but now the White Wolf is here,
perhaps all is not lost."
136;457125;460708,3334;"Why are you dressed
like a sad silk trader?"
137;464375;465791,6667;"-[Jaskier] What? 
-Walk with me."
138;466166,6667;467500;"To Mousesack!"
139;467583,3334;468958,3334;"-[all cheering] Yeah!
-To Mousesack!"
140;470791,6667;473791,6667;"-[laughing heartily]
-[herald] Prince Windhalm of Attre!"
141;473875;476291,6667;"I've been advising the Skelligen crown
for years."
142;476375;479750;"A tad rough around the edges,
but they're of the earth. Like me."
143;479833,3334;481541,6667;"-Castellan Haxo.
-Old and crusty."
144;481625;483000;"[cheering]"
145;483500;485916,6667;"How long
before this horse trading is done?"
146;486041,6667;487625;"I find royalty best taken in..."
147;488083,3334;489166,6667;"small doses."
148;489250;491583,3334;"I wouldn't count on leaving before dawn."
149;491666,6667;495291,6667;"These suitors will vie all night
for Princess Pavetta's hand."
150;495375;497500;"Marrying into this monarchy
is a mighty prize."
151;497583,3334;501041,6667;"Who wouldn't want to be king
of the most powerful force in the land?"
152;501416,6667;502291,6667;"Hm."
153;502375;503916,6667;"-[cheering]
-[band strikes up]"
154;505750;507875;"So, which one of these little shits
is your coin on?"
155;510333,3334;512750;"Come with me, there's much for you to see."
156;513250;514166,6667;"[cheering]"
157;514250;515708,3334;"[Mousesack] It's not a fair bet."
158;515791,6667;520208,3334;"That red-headed scanderlout over there,
Crach an Craite, will marry Pavetta."
159;520833,3334;523958,3334;"The Lioness has already arranged it
with the boy's uncle,"
160;524041,6667;525125;"Eist Tuirseach."
161;526208,3334;529125;"No one would dare make a move
on an alliance that powerful."
162;529208,3334;530250;"Handy with a blade."
163;531041,6667;533250;"-Handy with women, too.
-All an act."
164;533333,3334;537500;"Queen Calanthe refused his proposal
three times after King Roegner died,"
165;537833,3334;540458,3334;"despite the two of them
gliding around each other"
166;540541,6667;542125;"like courting swans."
167;543125;544125;"No, no, no."
168;544875;547750;"She was not for living
in her husband's shadow again."
169;547833,3334;548916,6667;"[scoffs]"
170;550916,6667;552916,6667;"Something about you reminds me"
171;553000;556333,3334;"of a scoundrel I once saw
fleeing my wife's chambers!"
172;556416,6667;557250;"Um, well..."
173;557333,3334;558875;"-Drop your trousers.
-What?"
174;558958,3334;561750;"I didn't get a proper look
at the little shit's face,"
175;561833,3334;564708,3334;"but that pimply arse
I'd remember anywhere."
176;564791,6667;566291,6667;"Well... uh, uh... Ah, Geralt."
177;566375;567375;"[chuckles nervously]"
178;568500;569750;"Forgive me, my lord."
179;569833,3334;571916,6667;"This... happens all the time."
180;572000;574541,6667;"It's true, he has the face
of a cad and a coward."
181;574625;576541,6667;"-Mm.
-But, truth be known,"
182;577458,3334;580333,3334;"he was kicked in the balls by an ox
as a child."
183;580416,6667;581416,6667;"Well, that's..."
184;582125;583000;"tr-- true."
185;583958,3334;584875;"Apologies."
186;586375;587625;"Here, drown your..."
187;588041,6667;590000;"sorrows on me, eunuch."
188;593666,6667;595458,3334;"Oh, wow. Thank you. Thank you so much."
189;595541,6667;597250;"First of all, you hog all the fanfare,"
190;597333,3334;598958,3334;"then you go
and ruin my courtly reputation."
191;599041,6667;601958,3334;"I saved your life.
You're on your own from here on."
192;602833,3334;605000;"Try not to get any daggers in your back
before dawn."
193;605083,3334;606000;"[fanfare]"
194;606250;609041,6667;"[herald] All rise for
Her Majesty, the Lioness,"
195;609625;611875;"Queen Calanthe of Cintra!"
196;613875;614875;"Beer!"
197;614958,3334;616750;"[loud cheer]"
198;618083,3334;619583,3334;"Apologies, noble sirs."
199;620125;623458,3334;"A few upstart townships in the south
needed reminding who was Queen."
200;623541,6667;625000;"[cheering and laughter]"
201;625083,3334;627083,3334;"I find it's good
for one's blood and humors."
202;627166,6667;628500;"[jeering]"
203;629333,3334;632250;"Ready your suitor's tales of glory,
good lords."
204;632958,3334;634708,3334;"My daughter is eager
to have this over with."
205;635375;636416,6667;"As am I."
206;636791,6667;638250;"Bard, music!"
207;638333,3334;640291,6667;"[cheer]"
208;641750;643041,6667;"♪ She ♪"
209;643125;645458,3334;"No, no, no! A jig!"
210;645541,6667;647875;"You can save your bloody maudlin nonsense
for my funeral."
211;649666,6667;650500;"Three, four..."
212;650583,3334;652583,3334;"[playing lively tune]"
213;655750;656875;"It will be done soon."
214;659208,3334;660875;"You think I wanted to marry your father?"
215;662375;664333,3334;"I'll have none of your waterworks here."
216;664416,6667;666583,3334;"You're the daughter of the Lioness,
behave like it!"
217;666666,6667;669625;"Perhaps I should have some starving serfs
brought in to slaughter, then."
218;670458,3334;671750;"Or I could decapitate some elves"
219;671833,3334;674916,6667;"and have their heads hung about
as a lesson to those who would defy me."
220;675000;677958,3334;"I will not have your hysteria
turn this night upside down."
221;679541,6667;682041,6667;"Besides, that boorish lout is the key"
222;682125;685208,3334;"to Cintra holding power
after I taste clay."
223;687791,6667;688916,6667;"He's from good stock."
224;690583,3334;691583,3334;"You could do worse."
225;691666,6667;692833,3334;"I could do better!"
226;693541,6667;695291,6667;"You can have who you want
when you're married."
227;696375;699166,6667;"You have your mother's blood.
You'll be fine."
228;704041,6667;706000;"[birds calling]"
229;708833,3334;711958,3334;"Where were you headed, Fiona,
to end up so lost?"
230;713625;714541,6667;"I was running..."
231;715166,6667;716166,6667;"from the war."
232;718333,3334;719166,6667;"You..."
233;720416,6667;723916,6667;"really don't remember
how you came to be in Brokilon Forest?"
234;728750;730500;"Yet you heard it call to you."
235;732416,6667;734166,6667;"There were many forests like it..."
236;734875;737041,6667;"before the Conjunction of the Spheres."
237;739416,6667;743666,6667;"We adapted, fought off the mutants
and men who sought our end."
238;745083,3334;746500;"Now only we remain."
239;748416,6667;749666,6667;"Dryads."
240;749750;751083,3334;"[man yelling and groaning]"
241;751750;752750;"Dara!"
242;753041,6667;754708,3334;"[groaning]"
243;757958,3334;759208,3334;"I'm so glad you're alive!"
244;760083,3334;761583,3334;"Is he going to be all right?"
245;761666,6667;763166,6667;"Bite down on this."
246;763250;764708,3334;"[gasping]"
247;766583,3334;768083,3334;"[screams]"
