index;season_no;episode_no;episode_name;Character;Text
0;1;7;Before a Fall;peasant;[man] Where would you be headin', little thief?
1;1;7;Before a Fall;Ciri;Skellige.
2;1;7;Before a Fall;peasant;[man] Hmm.
3;1;7;Before a Fall;;[horse neighs]
4;1;7;Before a Fall;Ciri;Do you know how long it is to the coast?
5;1;7;Before a Fall;peasant;With a fast horse,
6;1;7;Before a Fall;peasant;about a week.
7;1;7;Before a Fall;Ciri;And what about by foot?
8;1;7;Before a Fall;;[chuckles]
9;1;7;Before a Fall;woman;You need to be careful, child.
10;1;7;Before a Fall;woman;This place isn't safe if you're alone.
11;1;7;Before a Fall;Ciri;Then it's the same as every other place.
12;1;7;Before a Fall;;[faint drumbeat]
13;1;7;Before a Fall;;[bird calls]
14;1;7;Before a Fall;;[stirring music plays]
15;1;7;Before a Fall;;[rhythmic marching]
16;1;7;Before a Fall;;[men calling out]
17;1;7;Before a Fall;;[men yelling]
18;1;7;Before a Fall;;[door opens]
19;1;7;Before a Fall;;[door clanks shut]
20;1;7;Before a Fall;Mousesack;Out of nowhere, you send word to meet you.
21;1;7;Before a Fall;Mousesack;All this time, I thought you were dead.
22;1;7;Before a Fall;Geralt;I told you last time I was in Cintra that I wasn't coming back.
23;1;7;Before a Fall;Mousesack;Yet here you are.
24;1;7;Before a Fall;;[Geralt grunts softly]
25;1;7;Before a Fall;Mousesack;[Mousesack] Why?
26;1;7;Before a Fall;Mousesack;You've come for your Child of Surprise...
27;1;7;Before a Fall;Mousesack;haven't you?
28;1;7;Before a Fall;Geralt;The opposite.
29;1;7;Before a Fall;Geralt;I want you to tell me that he's safe and healthy so I can keep on riding.
30;1;7;Before a Fall;Mousesack;He...
31;1;7;Before a Fall;Mousesack;is a girl.
32;1;7;Before a Fall;;[chuckles]
33;1;7;Before a Fall;Mousesack;Yes.
34;1;7;Before a Fall;Mousesack;Princess Cirilla has been raised by Calanthe since her parents died.
35;1;7;Before a Fall;Geralt;What?
36;1;7;Before a Fall;Mousesack;[Mousesack] Pavetta and Duny's ship was lost at sea.
37;1;7;Before a Fall;Mousesack;Have you been hiding your head in the sand?
38;1;7;Before a Fall;Mousesack;Why now?
39;1;7;Before a Fall;Mousesack;Why do you think she's not safe?
40;1;7;Before a Fall;Geralt;I saw an army making camp at the Amell Pass.
41;1;7;Before a Fall;Geralt;A sea of black and gold.
42;1;7;Before a Fall;Mousesack;[Mousesack] Nilfgaard is set on sweeping the Continent.
43;1;7;Before a Fall;Mousesack;But since that night at Pavetta's banquet,
44;1;7;Before a Fall;Mousesack;the Queen's done everything she can to keep her family safe from threats.
45;1;7;Before a Fall;Mousesack;Shut the walls.
46;1;7;Before a Fall;Mousesack;Fortified the gates.
47;1;7;Before a Fall;;[running footsteps]
48;1;7;Before a Fall;Geralt;Sent assassins!
49;1;7;Before a Fall;Mousesack;What?
50;1;7;Before a Fall;Geralt;Were you followed?
51;1;7;Before a Fall;Mousesack;No!
52;1;7;Before a Fall;Geralt;Hmm.
53;1;7;Before a Fall;;[clattering]
54;1;7;Before a Fall;;[rattling]
55;1;7;Before a Fall;Geralt;Hmm?
56;1;7;Before a Fall;Geralt;Hmm.
57;1;7;Before a Fall;;[yells]
58;1;7;Before a Fall;Geralt;You want me, you kill him first!
59;1;7;Before a Fall;Mousesack;Geralt!
60;1;7;Before a Fall;Mousesack;Do something!
61;1;7;Before a Fall;Geralt;This is on your Queen.
62;1;7;Before a Fall;Mousesack;We will both die.
63;1;7;Before a Fall;Geralt;Blame destiny.
64;1;7;Before a Fall;;[all yelling]
65;1;7;Before a Fall;;[theme music playing]
66;1;7;Before a Fall;Danek;The Nilfgaardians don't strike me as foolish.
67;1;7;Before a Fall;Danek;Coming at us now would be right stupid.
68;1;7;Before a Fall;Calanthe;The army whose stink I can smell  on a strong breeze is one I worry about.
69;1;7;Before a Fall;Calanthe;So we prepare, same as always.
70;1;7;Before a Fall;Lazlo;When does the King return from Skellige, Your Majesty?
71;1;7;Before a Fall;Calanthe;This morning. Be good to see that craggy face.
72;1;7;Before a Fall;Danek;Be better to see the 50 ships the Skelligens promised.
73;1;7;Before a Fall;Danek;Your Majesty.
74;1;7;Before a Fall;Calanthe;No offense taken, Danek.
75;1;7;Before a Fall;Calanthe;You know I agree.
76;1;7;Before a Fall;Calanthe;We've taken on every pissant pretender for a dozen years.
77;1;7;Before a Fall;Calanthe;If Nilfgaard need to learn the lesson the rest of them have,
78;1;7;Before a Fall;Calanthe;we'll be ready for them.
79;1;7;Before a Fall;Calanthe;I want reports from the Amell Pass every hour...
80;1;7;Before a Fall;;[guards drawing swords]
81;1;7;Before a Fall;Calanthe;I warned you about coming back.
82;1;7;Before a Fall;Geralt;I've been away 12 years and I'd planned on staying that way...
83;1;7;Before a Fall;Geralt;till you sent eight men to kill me.
84;1;7;Before a Fall;Calanthe;Well, I'm asking you now.
85;1;7;Before a Fall;Calanthe;Do not do this.
86;1;7;Before a Fall;Geralt;If you treated me more like a friend than a threat...
87;1;7;Before a Fall;Geralt;Do you know the difference anymore?
88;1;7;Before a Fall;Geralt;I'm here
89;1;7;Before a Fall;Geralt;to protect the girl.
90;1;7;Before a Fall;Calanthe;Who I've raised as my own.
91;1;7;Before a Fall;Calanthe;Why would I give my only heir
92;1;7;Before a Fall;Calanthe;to someone who never cared enough to come back for her?
93;1;7;Before a Fall;Calanthe;Move along, Witcher. I'll pay whatever you want.
94;1;7;Before a Fall;Geralt;I can't be bought.
95;1;7;Before a Fall;Geralt;You should remember.
96;1;7;Before a Fall;Mousesack;Money can't undo the Law of Surprise.
97;1;7;Before a Fall;Mousesack;Kings who've tried to outbid destiny
98;1;7;Before a Fall;Mousesack;end up on pikes.
99;1;7;Before a Fall;Calanthe;And if I win the war but lose Ciri,
