index;season_no;episode_no;episode_name;Character;Text
0;1;6;Rare Species;;[lute playing]
1;1;6;Rare Species;Jaskier;[Jaskier]  <song> I'm weak, love, and I am wanting <song>
2;1;6;Rare Species;Jaskier;<song> If this is the path I must trudge <song>
3;1;6;Rare Species;Jaskier;<song> I'll welcome my sentence <song>
4;1;6;Rare Species;Jaskier;<song> Give to you my penance <song>
5;1;6;Rare Species;Jaskier;<song> Gorgeous garroter, jury and judge <song>
6;1;6;Rare Species;Jaskier;<song> Lovely garroter... <song>
7;1;6;Rare Species;Jaskier;<song> Gorgeous garro-- <song>
8;1;6;Rare Species;Jaskier;"Which one do you prefer? Lovely""? ""Gorgeous""?"""
9;1;6;Rare Species;;[horse snorts]
10;1;6;Rare Species;Jaskier;Is the whole metaphor landing, or is it too cerebral?
11;1;6;Rare Species;man;It's been an hour.
12;1;6;Rare Species;Jaskier;[Jaskier]  <song> Gorgeous... <song>
13;1;6;Rare Species;man;Let's get on before the beast gets hungry again.
14;1;6;Rare Species;man_2;But we made a deal.
15;1;6;Rare Species;man;We made a deal with a livin' witcher.
16;1;6;Rare Species;man;No sense in hangin' around to pay a dead one.
17;1;6;Rare Species;Jaskier;[Jaskier] <song> Gorgeous garro-- <song>
18;1;6;Rare Species;;[man grunts]
19;1;6;Rare Species;Jaskier;Bollocks! Oi! No. No, no, no! No!
20;1;6;Rare Species;Jaskier;Aah! You stop-- stop that, or I-- I'll, uh...
21;1;6;Rare Species;man;Or you'll what?
22;1;6;Rare Species;man_2;Sing us to death?
23;1;6;Rare Species;Borch;Perhaps you did not hear the man.
24;1;6;Rare Species;Jaskier;[Jaskier] Yeah! Perhaps you didn't...
25;1;6;Rare Species;Jaskier;Di-- Sorry, who are you?
26;1;6;Rare Species;man;Move along,
27;1;6;Rare Species;man;old man.
28;1;6;Rare Species;Borch;Do as the bard asks or I'll be forced to draw my weapons.
29;1;6;Rare Species;man;What weapons?
30;1;6;Rare Species;man;I see no steel 'ere.
31;1;6;Rare Species;Borch;Hm!
32;1;6;Rare Species;;[cries out]
33;1;6;Rare Species;;[yells]
34;1;6;Rare Species;Jaskier;Oh! [exclaims]
35;1;6;Rare Species;Tea;Steel won't be necessary.
36;1;6;Rare Species;;[Jaskier breathing heavily]
37;1;6;Rare Species;Geralt;I believe those are mine.
38;1;6;Rare Species;Jaskier;[Jaskier stammers]  Geralt, they--  With the--
39;1;6;Rare Species;Jaskier;This woman just killed a man with her bare hands
40;1;6;Rare Species;Jaskier;for trying to steal your horse.
41;1;6;Rare Species;Geralt;Maybe she'll make a better travel companion, then.
42;1;6;Rare Species;Jaskier;Uh, I'm sorry, who are you, exactly?
43;1;6;Rare Species;Borch;I am Borch Three Jackdaws.
44;1;6;Rare Species;Borch;These are my companions, Tea and Vea.
45;1;6;Rare Species;Borch;I've been looking for you, Geralt of Rivia.
46;1;6;Rare Species;Borch;This is a first for me, and that's saying something.
47;1;6;Rare Species;Borch;I've very few firsts left.
48;1;6;Rare Species;Borch;But to dine with the Geralt of Rivia...
49;1;6;Rare Species;Borch;Your adventures are legend.
50;1;6;Rare Species;Jaskier;You're welcome.
51;1;6;Rare Species;Jaskier;Est Est, small.
52;1;6;Rare Species;Borch;I suppose you want me to tell you why I've sought out
53;1;6;Rare Species;Borch;such an accomplished monster hunter.
54;1;6;Rare Species;Geralt;Don't trouble yourself on my account.
55;1;6;Rare Species;;[chuckling]
56;1;6;Rare Species;Geralt;[Geralt] I just want food.
57;1;6;Rare Species;Borch;I knew I'd like you.
58;1;6;Rare Species;Borch;That was the first reason.
59;1;6;Rare Species;Borch;One of everything you have. And keep the ale coming!
60;1;6;Rare Species;Inkeeper;[innkeeper] On its way!
61;1;6;Rare Species;Borch;The second one is this.
62;1;6;Rare Species;Borch;A short while ago,
63;1;6;Rare Species;Borch;a green dragon landed across the border in King Niedamir's mountains.
64;1;6;Rare Species;Borch;I know what you're thinking.
65;1;6;Rare Species;Borch;"Impossible, dragons are so rare."""""
66;1;6;Rare Species;Borch;But it's true.
67;1;6;Rare Species;Borch;Locals spotted it and went after it in search of treasure.
68;1;6;Rare Species;Borch;Of course, they succeeded only in wounding the creature
69;1;6;Rare Species;Borch;and angering it so righteously
70;1;6;Rare Species;Borch;that it swooped down from its lair and set half a hillside ablaze.
71;1;6;Rare Species;Geralt;Hm.
72;1;6;Rare Species;Borch;[Borch] Dead sheep everywhere.
73;1;6;Rare Species;Jaskier;You have the most incredible neck.
74;1;6;Rare Species;;[sighs]
75;1;6;Rare Species;Jaskier;It's like a... a sexy goose.
76;1;6;Rare Species;Geralt;Ugh.
77;1;6;Rare Species;Jaskier;Gu-- guzzling.
78;1;6;Rare Species;Borch;[Borch] Now, the King is in a bind.
79;1;6;Rare Species;Borch;He's set to marry the princess of his rival kingdom, Malleore,
80;1;6;Rare Species;Borch;which means it's bad timing
81;1;6;Rare Species;Borch;to have a murderous pest lurking about in the mountains.
82;1;6;Rare Species;Borch;He's commissioned a hunt to kill it.
83;1;6;Rare Species;Borch;Four teams have signed on.
84;1;6;Rare Species;Borch;The winner gets the dragon treasure hoard
85;1;6;Rare Species;Borch;plus the title of lord over one of his new vassal states.
86;1;6;Rare Species;Borch;That is... if he survives.
87;1;6;Rare Species;Geralt;What does this have to do with me?
88;1;6;Rare Species;Borch;I want you to join my team.
89;1;6;Rare Species;Jaskier;[Jaskier] I can hear it now,
90;1;6;Rare Species;Jaskier;a tale of two Zerrikanians
91;1;6;Rare Species;Jaskier;and their valiant poet lover.
92;1;6;Rare Species;Jaskier;Oh! [chuckles] We're so doing this. We're in.
93;1;6;Rare Species;Geralt;You've wasted your breath, Borch.
94;1;6;Rare Species;Geralt;I don't kill dragons.
95;1;6;Rare Species;;[sighs]
96;1;6;Rare Species;Geralt;[Geralt] Take my advice.
97;1;6;Rare Species;Geralt;No treasure is worth dying for.
98;1;6;Rare Species;Borch;Depends on the treasure.
99;1;6;Rare Species;Borch;What I need is...
100;1;6;Rare Species;Borch;a new adventure.
101;1;6;Rare Species;Borch;One final first before I'm too old to do anything but die.
102;1;6;Rare Species;Geralt;You think killing a dragon will bring you that?
103;1;6;Rare Species;Geralt;All I know is there's one path up the mountain,
104;1;6;Rare Species;Borch;and it's overrun with monsters.
105;1;6;Rare Species;Borch;With you on my team, dear Witcher, we'll be unstoppable.
106;1;6;Rare Species;;[men laughing]
107;1;6;Rare Species;Dwarf;[man] Someone get me a fuckin' drink!
108;1;6;Rare Species;Dwarf;Barman!
109;1;6;Rare Species;Borch;Those dwarfs will be part of the hunt.
110;1;6;Rare Species;Dwarf;Barman.
111;1;6;Rare Species;Geralt;Geralt could handle them in his sleep.
112;1;6;Rare Species;Yarpen;Fuckin' right!
113;1;6;Rare Species;Yarpen;He said he wants four fuckin' pints!
114;1;6;Rare Species;Yarpen;Now.
115;1;6;Rare Species;Borch;Or maybe a little bit awake.
116;1;6;Rare Species;Tea;[Tea] Then there are the Reavers.
117;1;6;Rare Species;Tea;Have you heard of them, Witcher?
118;1;6;Rare Species;Geralt;Yes.
119;1;6;Rare Species;Geralt;And the answer is no.
120;1;6;Rare Species;Borch;You feel it just the same as me...
121;1;6;Rare Species;Borch;that hole inside you.
122;1;6;Rare Species;Borch;That itch that can't be scratched that burns your brain,
123;1;6;Rare Species;Borch;keeps you awake at night.
124;1;6;Rare Species;Borch;Come with me.
125;1;6;Rare Species;Borch;I'll show you what you're missing.
126;1;6;Rare Species;Geralt;What am I missing?
127;1;6;Rare Species;Jaskier;Sorry to interrupt this lovely moment... That's only three.
128;1;6;Rare Species;Jaskier;Where's the-- What's the fourth team?
129;1;6;Rare Species;Geralt;[Geralt] Hm.
130;1;6;Rare Species;Borch;Them.
131;1;6;Rare Species;Jaskier;Oh! [laughs]
132;1;6;Rare Species;Jaskier;Ooh-hoo-hoo! Oh, no, no, no.
