index;season_no;episode_no;episode_name;Character;Text
97;1;1;A Grain of Truth;Marilka;I have to be more,
98;1;1;A Grain of Truth;Marilka;because I don't know what to do in Blaviken for the rest of my life,
99;1;1;A Grain of Truth;Marilka;except go to the boring old market.
100;1;1;A Grain of Truth;Geralt;And kill rats.
101;1;1;A Grain of Truth;Marilka;And dogs.
102;1;1;A Grain of Truth;Marilka;Here we are.
103;1;1;A Grain of Truth;Geralt;Hold Roach.
104;1;1;A Grain of Truth;;[whinnies]
105;1;1;A Grain of Truth;Geralt;Be nice.
106;1;1;A Grain of Truth;Marilka;[Marilka] Hey, Roach.
107;1;1;A Grain of Truth;;[chiming sound]
108;1;1;A Grain of Truth;;[low, resonating hum]
109;1;1;A Grain of Truth;;[bird calling]
110;1;1;A Grain of Truth;Stregobor;Greetings.
111;1;1;A Grain of Truth;Stregobor;I am Stregobor.
112;1;1;A Grain of Truth;Stregobor;Master Stregobor.
113;1;1;A Grain of Truth;Stregobor;Sorcerer.
114;1;1;A Grain of Truth;;I have a kikimora for Master Irion.
115;1;1;A Grain of Truth;Stregobor;Yes, well, forgive the confusion.
116;1;1;A Grain of Truth;Stregobor;Irion created this tower, but he's been dead 200 years.
117;1;1;A Grain of Truth;Stregobor;So, in order to honor him, I've taken his name as my...
118;1;1;A Grain of Truth;Stregobor;personal sobriquet.
119;1;1;A Grain of Truth;Geralt;Hm.
120;1;1;A Grain of Truth;Geralt;He create this illusion, too?
121;1;1;A Grain of Truth;Stregobor;No, this is, uh... this is...
122;1;1;A Grain of Truth;Stregobor;my own creation.
123;1;1;A Grain of Truth;Stregobor;Helps pass time more delightfully.
124;1;1;A Grain of Truth;Geralt;Because you're in hiding, Stregobor.
125;1;1;A Grain of Truth;Stregobor;How very clever of you...
126;1;1;A Grain of Truth;Stregobor;Witcher.
127;1;1;A Grain of Truth;Stregobor;Not often do we see your likeness here in Blaviken.
128;1;1;A Grain of Truth;Geralt;Not many of my likeness left.
