index,season_no,episode_no,episode_name,Character,Text
0,1,1,A Grain of Truth,,"[man] Where would you be headin', little thief?"
1,1,1,A Grain of Truth,,Skellige.
2,1,1,A Grain of Truth,,[man] Hmm.
3,1,1,A Grain of Truth,,[horse neighs]
4,1,1,A Grain of Truth,,Do you know how long it is to the coast?
5,1,1,A Grain of Truth,,"With a fast horse,"
6,1,1,A Grain of Truth,,about a week.
7,1,1,A Grain of Truth,,And what about by foot?
8,1,1,A Grain of Truth,,[chuckles]
9,1,1,A Grain of Truth,,"You need to be careful, child."
10,1,1,A Grain of Truth,,This place isn't safe if you're alone.
11,1,1,A Grain of Truth,,Then it's the same as every other place.
12,1,1,A Grain of Truth,,[faint drumbeat]
13,1,1,A Grain of Truth,,[bird calls]
14,1,1,A Grain of Truth,,[stirring music plays]
15,1,1,A Grain of Truth,,[rhythmic marching]
16,1,1,A Grain of Truth,,[men calling out]
17,1,1,A Grain of Truth,,[men yelling]
18,1,1,A Grain of Truth,,[door opens]
19,1,1,A Grain of Truth,,[door clanks shut]
20,1,1,A Grain of Truth,,"Out of nowhere, you send word to meet you."
21,1,1,A Grain of Truth,,"All this time, I thought you were dead."
22,1,1,A Grain of Truth,,I told you last time I was in Cintra that I wasn't coming back.
23,1,1,A Grain of Truth,,Yet here you are.
24,1,1,A Grain of Truth,,[Geralt grunts softly]
25,1,1,A Grain of Truth,,[Mousesack] Why?
26,1,1,A Grain of Truth,,You've come for your Child of Surprise...
27,1,1,A Grain of Truth,,haven't you?
28,1,1,A Grain of Truth,,The opposite.
29,1,1,A Grain of Truth,,I want you to tell me that he's safe and healthy so I can keep on riding.
30,1,1,A Grain of Truth,,He...
31,1,1,A Grain of Truth,,is a girl.
32,1,1,A Grain of Truth,,[chuckles]
33,1,1,A Grain of Truth,,Yes.
34,1,1,A Grain of Truth,,Princess Cirilla has been raised by Calanthe since her parents died.
35,1,1,A Grain of Truth,,What?
36,1,1,A Grain of Truth,,[Mousesack] Pavetta and Duny's ship was lost at sea.
37,1,1,A Grain of Truth,,Have you been hiding your head in the sand?
38,1,1,A Grain of Truth,,Why now?
39,1,1,A Grain of Truth,,Why do you think she's not safe?
40,1,1,A Grain of Truth,,I saw an army making camp at the Amell Pass.
41,1,1,A Grain of Truth,,A sea of black and gold.
42,1,1,A Grain of Truth,,[Mousesack] Nilfgaard is set on sweeping the Continent.
43,1,1,A Grain of Truth,,"But since that night at Pavetta's banquet,"
