index;season_no;episode_no;episode_name;Character;Text
0;1;2;Kaer Morhen;girl;[girl] So, where are you taking me?
1;1;2;Kaer Morhen;boy;[boy] It's a surprise.
2;1;2;Kaer Morhen;gril;[girl] A surprise? What surprise?
3;1;2;Kaer Morhen;boy;[boy] I got you something.
4;1;2;Kaer Morhen;girl;Do tell.
5;1;2;Kaer Morhen;boy;[boy] Well, if I tell now, it wouldn't be a surprise, would it?
6;1;2;Kaer Morhen;girl;[laughs] You're a very, very naughty boy.
7;1;2;Kaer Morhen;boy;Stand there. Close your eyes.
8;1;2;Kaer Morhen;boy;Open.
9;1;2;Kaer Morhen;girl;A daisy? Not a rose?
10;1;2;Kaer Morhen;boy;Roses are cliche.
11;1;2;Kaer Morhen;girl;Daisies are cheap.
12;1;2;Kaer Morhen;boy;I can still... kiss you, right?
13;1;2;Kaer Morhen;girl;Where did it go?
14;1;2;Kaer Morhen;boy;What?
15;1;2;Kaer Morhen;girl;My daisy.
16;1;2;Kaer Morhen;boy;Thought you didn't want it?
17;1;2;Kaer Morhen;girl;Ugh!
18;1;2;Kaer Morhen;;[gasps]
19;1;2;Kaer Morhen;girl;Now it smells of pig shit.
20;1;2;Kaer Morhen;boy;You been spying on us, you creep?
21;1;2;Kaer Morhen;girl;'Course. Look at her. No one's ever kissed that.
22;1;2;Kaer Morhen;girl;Could she even stand up straight to do it?
23;1;2;Kaer Morhen;boy;Where you going, crooked girl? We can teach you.
24;1;2;Kaer Morhen;yennefer;Leave me alone. Stop.
25;1;2;Kaer Morhen;boy;I heard your father  makes you sleep with pigs.
26;1;2;Kaer Morhen;yennefer;Stop.
27;1;2;Kaer Morhen;girl;Your own family doesn't even want you.
28;1;2;Kaer Morhen;;[gasps]
29;1;2;Kaer Morhen;;[whispering voice]
30;1;2;Kaer Morhen;;[shudders]
31;1;2;Kaer Morhen;;[whispering]
32;1;2;Kaer Morhen;;[gasps]
33;1;2;Kaer Morhen;;[rumbling and whispering continue]
34;1;2;Kaer Morhen;Istredd;Who are you?
35;1;2;Kaer Morhen;yennefer;Wha-- what is all this?
36;1;2;Kaer Morhen;yennefer;Am I dead?
37;1;2;Kaer Morhen;yennefer;How did I get here?
38;1;2;Kaer Morhen;Istredd;Well, it looks to me  like you portalled in.
39;1;2;Kaer Morhen;yennefer;I what?
40;1;2;Kaer Morhen;Istredd;You know, portalled.
