Number;Start time in milliseconds;End time in milliseconds;"Text"
1;7458,3334;9458,3334;"[lute playing]"
2;11625;14375;"[Jaskier]
 ♪ I'm weak, love, and I am wanting ♪"
3;15000;17625;"♪ If this is the path I must trudge ♪"
4;17708,3334;19416,6667;"♪ I'll welcome my sentence ♪"
5;19500;21375;"♪ Give to you my penance ♪"
6;21875;26833,3334;"♪ Gorgeous garroter, jury and judge ♪"
7;28000;29750;"♪ Lovely garroter... ♪"
8;30708,3334;32166,6667;"♪ Gorgeous garro-- ♪"
9;33166,6667;35625;"Which one do you prefer?
"Lovely"? "Gorgeous"?"
10;35708,3334;36583,3334;"[horse snorts]"
11;36666,6667;39291,6667;"Is the whole metaphor landing,
or is it too cerebral?"
12;39875;41750;"-It's been an hour.
-[Jaskier]  ♪ Gorgeous... ♪"
13;41833,3334;43791,6667;"Let's get on
before the beast gets hungry again."
14;43875;46833,3334;"-But we made a deal.
-We made a deal with a livin' witcher."
15;47333,3334;49625;"No sense in hangin' around
to pay a dead one."
16;49708,3334;51041,6667;"[Jaskier] ♪ Gorgeous garro-- ♪"
17;51708,3334;54166,6667;"-[man grunts]
-Bollocks! Oi! No. No, no, no! No!"
18;54250;56708,3334;"Aah! You stop-- stop that,
or I-- I'll, uh..."
19;56791,6667;57791,6667;"Or you'll what?"
20;58375;59291,6667;"Sing us to death?"
21;60083,3334;61750;"Perhaps you did not hear the man."
22;61833,3334;63666,6667;"[Jaskier] Yeah! Perhaps you didn't..."
23;63750;65041,6667;"Di-- Sorry, who are you?"
24;65833,3334;66750;"Move along,"
25;67208,3334;68208,3334;"old man."
26;69375;72458,3334;"Do as the bard asks
or I'll be forced to draw my weapons."
27;72875;73916,6667;"What weapons?"
28;74875;76333,3334;"I see no steel 'ere."
29;76416,6667;77666,6667;"-Hm!
-[cries out]"
30;77750;80208,3334;"-[yells]
-Oh! [exclaims]"
31;80625;81916,6667;"Steel won't be necessary."
32;82000;83375;"[Jaskier breathing heavily]"
33;92208,3334;93291,6667;"I believe those are mine."
34;95500;98250;"[Jaskier stammers] 
Geralt, they--  With the--"
35;98333,3334;100416,6667;"This woman just killed a man
with her bare hands"
36;100500;102041,6667;"for trying to steal your horse."
37;102125;104375;"Maybe she'll make
a better travel companion, then."
38;105458,3334;108041,6667;"Uh, I'm sorry, who are you, exactly?"
39;108458,3334;110791,6667;"I am Borch Three Jackdaws."
40;111208,3334;113916,6667;"These are my companions,
Téa and Véa."
41;115291,6667;118125;"I've been looking for you,
Geralt of Rivia."
42;122541,6667;125291,6667;"This is a first for me,
and that's saying something."
43;125375;126875;"I've very few firsts left."
44;128041,6667;130916,6667;"But to dine with the Geralt of Rivia..."
45;131625;133125;"Your adventures are legend."
46;133208,3334;134291,6667;"You're welcome."
47;134375;136000;"Est Est, small."
48;136083,3334;138416,6667;"I suppose you want me to tell you
why I've sought out"
49;138500;140416,6667;"such an accomplished monster hunter."
50;140500;142500;"-Don't trouble yourself on my account.
-[chuckling]"
51;142583,3334;145208,3334;"-[Geralt] I just want food.
-I knew I'd like you."
52;145291,6667;146625;"That was the first reason."
53;147416,6667;150416,6667;"One of everything you have.
And keep the ale coming!"
54;150500;151666,6667;"[innkeeper] On its way!"
55;153416,6667;155041,6667;"The second one is this."
56;155875;156875;"A short while ago,"
57;156958,3334;161625;"a green dragon landed across the border
in King Niedamir's mountains."
58;163375;164541,6667;"I know what you're thinking."
59;165541,6667;168166,6667;""Impossible, dragons are so rare.""
60;168875;169708,3334;"But it's true."
61;170583,3334;173708,3334;"Locals spotted it
and went after it in search of treasure."
62;173791,6667;176791,6667;"Of course, they succeeded only
in wounding the creature"
63;176875;178708,3334;"and angering it so righteously"
64;178791,6667;181958,3334;"that it swooped down from its lair
and set half a hillside ablaze."
65;182416,6667;184375;"-Hm.
-[Borch] Dead sheep everywhere."
66;184791,6667;186125;"You have the most incredible neck."
67;187125;189875;"-[sighs]
-It's like a... a sexy goose."
68;189958,3334;191291,6667;"Ugh."
69;192041,6667;193166,6667;"Gu-- guzzling."
70;193250;195125;"[Borch] Now, the King is in a bind."
71;195458,3334;199291,6667;"He's set to marry the princess
of his rival kingdom, Malleore,"
72;199375;200750;"which means it's bad timing"
73;200833,3334;203583,3334;"to have a murderous pest lurking about
in the mountains."
74;204333,3334;206750;"He's commissioned a hunt to kill it."
75;207500;209208,3334;"Four teams have signed on."
76;209666,6667;211750;"The winner gets the dragon treasure hoard"
77;211833,3334;215375;"plus the title of lord
over one of his new vassal states."
78;215458,3334;217333,3334;"That is... if he survives."
79;218500;220458,3334;"What does this have to do with me?"
80;223375;225291,6667;"I want you to join my team."
81;237916,6667;239291,6667;"[Jaskier] I can hear it now,"
82;239375;241458,3334;"a tale of two Zerrikanians"
83;241541,6667;244333,3334;"and their valiant poet lover."
84;244416,6667;247291,6667;"Oh! [chuckles]
We're so doing this. We're in."
85;248333,3334;250208,3334;"You've wasted your breath, Borch."
86;251250;252583,3334;"I don't kill dragons."
87;253000;253916,6667;"[sighs]"
88;254000;255208,3334;"[Geralt] Take my advice."
89;255791,6667;258083,3334;"No treasure is worth dying for."
90;259875;261291,6667;"Depends on the treasure."
91;262833,3334;264958,3334;"What I need is..."
92;265875;267083,3334;"a new adventure."
93;267916,6667;271666,6667;"One final first before I'm too old
to do anything but die."
94;272625;274500;"You think killing a dragon
will bring you that?"
95;276583,3334;279000;"All I know is there's one path
up the mountain,"
96;279083,3334;281250;"and it's overrun with monsters."
97;281333,3334;284833,3334;"With you on my team, dear Witcher,
we'll be unstoppable."
98;285666,6667;288000;"-[men laughing]
-[man] Someone get me a fuckin' drink!"
99;289333,3334;291958,3334;"-Barman!
-Those dwarfs will be part of the hunt."
100;292791,6667;293708,3334;"Barman."
101;293791,6667;296541,6667;"-Geralt could handle them in his sleep.
-Fuckin' right!"
102;298000;301041,6667;"He said he wants four fuckin' pints!"
103;302000;304375;"-Now.
-Or maybe a little bit awake."
104;304750;306458,3334;"[Téa] Then there are the Reavers."
105;308916,6667;310541,6667;"Have you heard of them, Witcher?"
106;310625;311500;"Yes."
107;313583,3334;315083,3334;"And the answer is no."
108;316791,6667;319041,6667;"You feel it just the same as me..."
109;319708,3334;321250;"that hole inside you."
110;321916,6667;324916,6667;"That itch that can't be scratched
that burns your brain,"
111;325000;326500;"keeps you awake at night."
112;328125;328958,3334;"Come with me."
113;329791,6667;331583,3334;"I'll show you what you're missing."
114;333125;334333,3334;"What am I missing?"
115;337375;340458,3334;"Sorry to interrupt this lovely moment...
That's only three."
116;340541,6667;342708,3334;"Where's the-- What's the fourth team?"
117;344125;345416,6667;"-[Geralt] Hm.
-Them."
118;347333,3334;348875;"Oh! [laughs]"
119;349958,3334;352208,3334;"Ooh-hoo-hoo! Oh, no, no, no."
120;352291,6667;354750;"Oh, no, no, no, no, no. 
Thank you so much. It's been very nice."
121;354833,3334;356833,3334;"Thank you for the wine and the pies,"
122;356916,6667;358833,3334;"but as the man said,
we really can't get involved."
123;358916,6667;360000;"Geralt, shall we?"
124;360500;362000;"-I'm in.
-Mother of..."
125;363750;366083,3334;"The hunt begins at sunrise."
126;367083,3334;367916,6667;"[sighs]"
127;383166,6667;386208,3334;"Your man might've mentioned
that the road was too narrow for horses"
128;386291,6667;387791,6667;"in his initial sales pitch."
129;388416,6667;390041,6667;"Welcome to the world, Jaskier."
130;391000;392083,3334;"Damn it to Korath!"
131;392833,3334;393916,6667;"What's got your goat?"
